Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
1867696,1867696,0,,1867664,1867664,0,,3735360,3735360,0,717195264,717192576,0,0,0,0,
1867624,1867624,0,,1867652,1867652,0,,3735276,3735276,0,717166848,717171840,0,0,0,0,
1867733,1867733,0,,1867739,1867707,0,,3735472,3735440,0,717210624,717206976,0,0,0,0,
1867583,1867583,0,,1867581,1867613,0,,3735164,3735196,0,717151488,717150528,0,0,0,0,
1867724,1867724,0,,1867721,1867721,0,,3735445,3735445,0,717211584,717209856,0,0,0,0,
1867736,1867736,0,,1867731,1867731,0,,3735467,3735467,0,717203520,717207552,0,0,0,0,
1867648,1867648,0,,1867656,1867656,0,,3735304,3735304,0,717178368,717174528,0,0,0,0,
1867696,1867696,0,,1867704,1867696,0,,3735400,3735392,0,717196800,717200640,0,0,0,0,
1867656,1867656,0,,1867648,1867656,0,,3735304,3735312,0,717178368,717178752,0,0,0,0,
1867656,1867656,0,,1867656,1867656,0,,3735312,3735312,0,717179904,717177984,0,0,0,0,
1867696,1867696,0,,1867696,1867696,0,,3735392,3735392,0,717195264,717194496,0,0,0,0,
1867688,1867688,0,,1867688,1867669,0,,3735376,3735357,0,717192192,717186240,0,0,0,0,
1867664,1867664,0,,1867616,1867635,0,,3735280,3735299,0,717179904,717177408,0,0,0,0,
1867688,1867688,0,,1867736,1867704,0,,3735424,3735392,0,717195264,717202944,0,0,0,0,
1867656,1867656,0,,1867656,1867660,0,,3735312,3735316,0,717181056,717173376,0,0,0,0,
1867668,1867668,0,,1867668,1867692,0,,3735336,3735360,0,717183360,717194112,0,0,0,0,
1867660,1867660,0,,1867659,1867656,0,,3735319,3735316,0,717181248,717178368,0,0,0,0,
1867614,1867614,0,,1867617,1867624,0,,3735231,3735238,0,717164352,717168384,0,0,0,0,
1472250,1472250,0,,1472248,1472216,0,,2944498,2944466,0,565343616,565331712,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
927832,927832,0,,932048,932048,0,,1859880,1859880,0,357096960,357110784,749565,0,0,0,
1973362,1973362,0,,1988804,1988836,0,,3962166,3962198,0,760735872,760729344,1636156,0,0,0,
1974752,1974752,0,,1989875,1989875,0,,3964627,3964627,0,761214528,761216640,1633729,0,0,0,
