Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
2880076,2880076,0,,2625633,2625639,0,,3336766,3336769,0,,2724870,2724870,0,,2786114,2786122,0,,2752944,2752944,0,,2976548,2976548,0,,20082951,20082968,0,3855929856,3855929856,580,0,0,0,
2877504,2877504,0,,2633652,2633647,0,,3336402,3336399,0,,2719821,2719822,0,,2782447,2782439,0,,2757723,2757730,0,,2975658,2975658,0,,20083207,20083199,0,3855975552,3855975552,308,0,0,0,
2880998,2880998,0,,2626720,2626719,0,,3335969,3335969,0,,2719030,2719029,0,,2791045,2791051,0,,2752953,2752946,0,,2976809,2976809,0,,20083524,20083521,0,3856034880,3856035648,72,0,0,0,
2877009,2877009,0,,2629366,2629373,0,,3338691,3338699,0,,2724206,2724212,0,,2782122,2782122,0,,2754426,2754439,0,,2977399,2977399,0,,20083219,20083253,0,3855984384,3855990912,255,0,0,0,
2877291,2877291,0,,2630599,2630592,0,,3336407,3336399,0,,2720746,2720746,0,,2785745,2785757,0,,2756146,2756141,0,,2976451,2976466,0,,20083385,20083392,0,3856013184,3856012800,208,0,0,0,
2881436,2881436,0,,2626621,2626621,0,,3334919,3334919,0,,2721464,2721489,0,,2789072,2789056,0,,2753175,2753167,0,,2976538,2976523,0,,20083225,20083211,0,3855976128,3855975744,0,0,0,0,
2878103,2878103,0,,2631301,2631301,0,,3339526,3339526,0,,2722169,2722170,0,,2780617,2780615,0,,2756276,2756276,0,,2975541,2975556,0,,20083533,20083547,0,3856039488,3856033152,352,0,0,0,
2876845,2876845,0,,2629778,2629784,0,,3336617,3336634,0,,2720553,2720527,0,,2788419,2788430,0,,2753747,2753752,0,,2977434,2977419,0,,20083393,20083391,0,3856014720,3856018752,157,0,0,0,
2880425,2880425,0,,2625946,2625940,0,,3336677,3336660,0,,2724512,2724506,0,,2786034,2786023,0,,2752880,2752875,0,,2976755,2976755,0,,20083229,20083184,0,3855967680,3855963840,316,0,0,0,
2877700,2877700,0,,2633523,2633544,0,,3336332,3336332,0,,2720043,2720043,0,,2782458,2782458,0,,2757761,2757761,0,,2975377,2975409,0,,20083194,20083247,0,3855983424,3855984384,297,0,0,0,
2880627,2880627,0,,2626881,2626860,0,,3336367,3336367,0,,2719078,2719087,0,,2790556,2790578,0,,2753158,2753158,0,,2976884,2976862,0,,20083551,20083539,0,3856042560,3856041216,89,0,0,0,
2877214,2877214,0,,2628975,2628975,0,,3337964,3337965,0,,2724621,2724613,0,,2782754,2782735,0,,2754144,2754144,0,,2977392,2977385,0,,20083064,20083031,0,3855939648,3855939840,453,0,0,0,
2877079,2877079,0,,2631035,2631035,0,,3336463,3336462,0,,2720804,2720803,0,,2785149,2785147,0,,2756556,2756557,0,,2976402,2976401,0,,20083488,20083484,0,3856029696,3856029504,114,0,0,0,
2881102,2881102,0,,2626720,2626720,0,,3335706,3335710,0,,2719536,2719568,0,,2789940,2789948,0,,2753244,2753247,0,,2976751,2976754,0,,20082999,20083049,0,3855938688,3855945600,460,0,0,0,
