Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Lcore 7,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
2584085,2584085,0,,2282663,2282663,0,,2506817,2506815,0,,2525101,2525097,0,,2447751,2447729,0,,2430547,2430550,0,,2361990,2361995,0,,2930043,2930020,0,,20068997,20068954,0,3853243776,3853227072,12381,0,0,0,
2579727,2579727,0,,2282811,2282811,0,,2502312,2502308,0,,2530215,2530209,0,,2448079,2448070,0,,2436775,2436769,0,,2364870,2364872,0,,2928076,2928068,0,,20072865,20072834,0,3853987008,3853992384,10723,0,0,0,
2586596,2586596,0,,2283322,2283322,0,,2503177,2503177,0,,2524931,2524933,0,,2449144,2449149,0,,2430463,2430466,0,,2361510,2361503,0,,2930318,2930318,0,,20069461,20069464,0,3853334400,3853331520,11394,0,0,0,
2580078,2580078,0,,2285281,2285281,0,,2506553,2506553,0,,2528924,2528922,0,,2450229,2450223,0,,2430767,2430764,0,,2363338,2363338,0,,2927825,2927824,0,,20072995,20072983,0,3854012160,3854008704,10609,0,0,0,
2581655,2581655,0,,2281178,2281178,0,,2502157,2502157,0,,2527475,2527475,0,,2449770,2449770,0,,2438351,2438351,0,,2364310,2364310,0,,2927954,2927955,0,,20072850,20072851,0,3853988736,3853987968,10752,0,0,0,
2586683,2586683,0,,2283440,2283445,0,,2504833,2504834,0,,2524716,2524716,0,,2446875,2446905,0,,2428894,2428900,0,,2361949,2361960,0,,2931357,2931361,0,,20068747,20068804,0,3853210944,3853223040,12004,0,0,0,
2578674,2578674,0,,2284666,2284668,0,,2505051,2505054,0,,2531642,2531651,0,,2448857,2448827,0,,2432961,2432956,0,,2364266,2364255,0,,2926855,2926854,0,,20072972,20072939,0,3854007936,3853996800,10691,0,0,0,
2583907,2583907,0,,2282990,2282983,0,,2501531,2501527,0,,2525345,2525337,0,,2452161,2452162,0,,2435005,2435005,0,,2362461,2362461,0,,2928251,2928279,0,,20071651,20071661,0,3853753152,3853756608,11034,0,0,0,
2584925,2584925,0,,2282915,2282915,0,,2507002,2507002,0,,2525556,2525555,0,,2447869,2447874,0,,2430931,2430930,0,,2362513,2362513,0,,2931463,2931452,0,,20073174,20073166,0,3854047872,3854044224,11249,0,0,0,
2579107,2579107,0,,2282800,2282803,0,,2502398,2502398,0,,2530393,2530393,0,,2448386,2448384,0,,2436665,2436683,0,,2364663,2364663,0,,2928362,2928341,0,,20072774,20072772,0,3853968768,3853971456,10817,0,0,0,
