Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
2609782,2609782,0,,2629958,2629958,0,,2514199,2514167,0,,2507737,2507737,0,,2300981,2300981,0,,2499872,2499872,0,,15062529,15062497,0,2891999424,2891995584,378,0,0,0,
2608886,2608886,0,,2630492,2630492,0,,2513956,2513956,0,,2507431,2507431,0,,2301707,2301707,0,,2500382,2500382,0,,15062854,15062854,0,2892068928,2892071232,0,0,0,0,
2609254,2609254,0,,2629189,2629191,0,,2515629,2515638,0,,2508042,2508044,0,,2301058,2301072,0,,2499644,2499655,0,,15062816,15062854,0,2892064320,2892067392,57,0,0,0,
2609385,2609385,0,,2629595,2629594,0,,2514064,2514055,0,,2507700,2507698,0,,2301355,2301345,0,,2500650,2500639,0,,15062749,15062716,0,2892045504,2892048000,102,0,0,0,
2609960,2609960,0,,2629863,2629862,0,,2514481,2514486,0,,2507692,2507702,0,,2301230,2301226,0,,2499553,2499553,0,,15062779,15062789,0,2892057024,2892051264,73,0,0,0,
2609434,2609434,0,,2630151,2630151,0,,2514621,2514616,0,,2508073,2508063,0,,2301031,2301034,0,,2499507,2499507,0,,15062817,15062805,0,2892057216,2892063168,32,0,0,0,
2608939,2608939,0,,2629151,2629151,0,,2514304,2514304,0,,2508120,2508120,0,,2301809,2301806,0,,2500400,2500400,0,,15062723,15062720,0,2892040704,2892045312,107,0,0,0,
2608368,2608368,0,,2630496,2630509,0,,2514938,2514942,0,,2507889,2507897,0,,2301708,2301720,0,,2499499,2499511,0,,15062898,15062947,0,2892086208,2892073344,0,0,0,0,
2608508,2608508,0,,2630808,2630800,0,,2514463,2514459,0,,2507967,2507959,0,,2301527,2301515,0,,2499197,2499217,0,,15062470,15062458,0,2891985408,2891995392,0,0,0,0,
2607851,2607851,0,,2631369,2631368,0,,2514768,2514784,0,,2507979,2507994,0,,2301541,2301547,0,,2499747,2499719,0,,15063255,15063263,0,2892152640,2892142656,0,0,0,0,
2608560,2608560,0,,2629603,2629602,0,,2515437,2515433,0,,2508059,2508069,0,,2301936,2301930,0,,2499217,2499213,0,,15062812,15062807,0,2892059328,2892065664,0,0,0,0,
2608160,2608160,0,,2630449,2630476,0,,2514684,2514672,0,,2507925,2507900,0,,2301804,2301804,0,,2499896,2499896,0,,15062918,15062908,0,2892077952,2892071616,0,0,0,0,
2608299,2608299,0,,2631439,2631409,0,,2515689,2515689,0,,2507405,2507405,0,,2301021,2301021,0,,2499031,2499031,0,,15062884,15062854,0,2892068544,2892070272,0,0,0,0,
2608933,2608933,0,,2630870,2630870,0,,2514402,2514402,0,,2507624,2507624,0,,2301761,2301761,0,,2499264,2499264,0,,15062854,15062854,0,2892067584,2892068160,0,0,0,0,
2608763,2608763,0,,2629956,2629956,0,,2515149,2515149,0,,2507552,2507552,0,,2302109,2302109,0,,2499325,2499325,0,,15062854,15062854,0,2892067776,2892066432,0,0,0,0,
2608629,2608629,0,,2630750,2630750,0,,2514220,2514220,0,,2508045,2508045,0,,2301488,2301488,0,,2499722,2499722,0,,15062854,15062854,0,2892068544,2892069696,0,0,0,0,
2608438,2608438,0,,2629694,2629694,0,,2514980,2514991,0,,2508664,2508675,0,,2300707,2300713,0,,2499172,2499184,0,,15061655,15061695,0,2891844672,2891845824,1216,0,0,0,
2609473,2609473,0,,2630582,2630590,0,,2513825,2513823,0,,2508340,2508333,0,,2301439,2301433,0,,2499125,2499113,0,,15062784,15062765,0,2892051648,2892054144,84,0,0,0,
2608898,2608898,0,,2630076,2630069,0,,2515031,2515024,0,,2507995,2507991,0,,2301723,2301727,0,,2498937,2498937,0,,15062660,15062646,0,2892028416,2892023040,163,0,0,0,
2608764,2608764,0,,2629902,2629908,0,,2514873,2514881,0,,2508608,2508630,0,,2301395,2301395,0,,2499331,2499337,0,,15062873,15062915,0,2892074496,2892081792,0,0,0,0,
2608630,2608630,0,,2630115,2630132,0,,2514122,2514112,0,,2509178,2509156,0,,2301687,2301683,0,,2499135,2499129,0,,15062867,15062842,0,2892072384,2892068736,0,0,0,0,
2608874,2608874,0,,2630370,2630346,0,,2514180,2514180,0,,2508169,2508195,0,,2301784,2301784,0,,2499198,2499198,0,,15062575,15062577,0,2892012288,2892008256,349,0,0,0,
2608205,2608205,0,,2629946,2629952,0,,2515412,2515432,0,,2508937,2508919,0,,2301059,2301066,0,,2499267,2499267,0,,15062826,15062841,0,2892065472,2892065472,0,0,0,0,
2608274,2608274,0,,2629995,2629991,0,,2514548,2514528,0,,2508633,2508625,0,,2301214,2301212,0,,2499840,2499840,0,,15062504,15062470,0,2891994240,2892000960,343,0,0,0,
2608386,2608386,0,,2630220,2630219,0,,2514510,2514510,0,,2508813,2508813,0,,2300955,2300950,0,,2499920,2499920,0,,15062804,15062798,0,2892057216,2892064128,0,0,0,0,
2609560,2609560,0,,2629904,2629903,0,,2514217,2514217,0,,2508897,2508897,0,,2301063,2301063,0,,2499322,2499322,0,,15062963,15062962,0,2892088704,2892075072,0,0,0,0,
2084892,2084892,0,,2102302,2102302,0,,2007714,2007714,0,,2006613,2006613,0,,1838271,1838271,0,,1999167,1999167,0,,12038959,12038959,0,2311480128,2311480128,17,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
3563804,3563804,0,,3592627,3592628,0,,3435084,3435085,0,,3426210,3426239,0,,3143703,3143734,0,,3413537,3413566,0,,20574965,20575056,0,3950399616,3950412288,1181,0,0,0,
3908744,3908744,0,,3947706,3947706,0,,3775066,3775066,0,,3762340,3762311,0,,3454038,3454007,0,,3744680,3744651,0,,22592574,22592485,0,4337768448,4337757504,1501,0,0,0,
3915715,3915715,0,,3942993,3943002,0,,3768857,3768858,0,,3761667,3761667,0,,3450702,3450708,0,,3752530,3752530,0,,22592464,22592480,0,4337755968,4337763648,1350,0,0,0,
3910726,3910726,0,,3946553,3946554,0,,3773513,3773511,0,,3764885,3764885,0,,3451876,3451870,0,,3745302,3745327,0,,22592855,22592873,0,4337831616,4337822208,1088,0,0,0,
3912869,3912869,0,,3944076,3944097,0,,3771812,3771832,0,,3758517,3758518,0,,3452794,3452794,0,,3751119,3751095,0,,22591187,22591205,0,4337511360,4337517696,2506,0,0,0,
3913177,3913177,0,,3945188,3945156,0,,3770750,3770730,0,,3765898,3765909,0,,3451707,3451722,0,,3746241,3746255,0,,22592961,22592949,0,4337845248,4337841984,1318,0,0,0,
3912319,3912319,0,,3945428,3945428,0,,3773648,3773649,0,,3757030,3757018,0,,3453466,3453452,0,,3750121,3750106,0,,22592012,22591972,0,4337661888,4337661888,1920,0,0,0,
3913706,3913706,0,,3943470,3943485,0,,3769225,3769255,0,,3768144,3768144,0,,3449967,3449966,0,,3747867,3747867,0,,22592379,22592423,0,4337742912,4337739840,1664,0,0,0,
3912861,3912861,0,,3945888,3945882,0,,3773934,3773913,0,,3756871,3756875,0,,3453635,3453643,0,,3748243,3748254,0,,22591432,22591428,0,4337554176,4337554176,2525,0,0,0,
3913628,3913628,0,,3942430,3942421,0,,3770019,3770009,0,,3765799,3765796,0,,3450277,3450269,0,,3750097,3750098,0,,22592250,22592221,0,4337706816,4337709120,1764,0,0,0,
