Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
468417,468417,0,,468408,468428,0,,468426,468417,0,,468403,468428,0,,1873654,1873690,0,359739648,359748480,0,0,0,0,
468387,468387,0,,468401,468376,0,,468406,468387,0,,468406,468376,0,,1873600,1873526,0,359731200,359717568,0,0,0,0,
468408,468408,0,,468408,468408,0,,468408,468408,0,,468408,468408,0,,1873632,1873632,0,359737344,359736768,0,0,0,0,
468428,468428,0,,468428,468428,0,,468428,468428,0,,468428,468428,0,,1873712,1873712,0,359752704,359752704,0,0,0,0,
468409,468409,0,,468378,468408,0,,468378,468406,0,,468404,468408,0,,1873569,1873631,0,359730518,359737046,0,0,0,0,
468428,468428,0,,468428,468428,0,,468458,468430,0,,468432,468428,0,,1873746,1873714,0,359759616,359753088,0,0,0,0,
468409,468409,0,,468408,468404,0,,468401,468408,0,,468403,468408,0,,1873621,1873629,0,359734358,359737430,0,0,0,0,
468408,468408,0,,468428,468412,0,,468405,468408,0,,468413,468408,0,,1873654,1873636,0,359740416,359737344,0,0,0,0,
468397,468397,0,,468406,468396,0,,468406,468396,0,,468396,468396,0,,1873605,1873585,0,359728214,359728214,0,0,0,0,
468408,468408,0,,468378,468408,0,,468408,468408,0,,468396,468408,0,,1873590,1873632,0,359729280,359737344,0,0,0,0,
468429,468429,0,,468458,468428,0,,468428,468428,0,,468440,468428,0,,1873755,1873713,0,359760854,359752790,0,0,0,0,
468408,468408,0,,468408,468408,0,,468398,468408,0,,468378,468408,0,,1873592,1873632,0,359729664,359737344,0,0,0,0,
468427,468427,0,,468398,468426,0,,468435,468428,0,,468428,468425,0,,1873688,1873706,0,359747990,359751446,0,0,0,0,
468410,468410,0,,468438,468410,0,,468411,468408,0,,468438,468411,0,,1873697,1873639,0,359749824,359738688,0,0,0,0,
468376,468376,0,,468376,468378,0,,468376,468378,0,,468376,468378,0,,1873504,1873510,0,359713152,359714112,0,0,0,0,
468428,468428,0,,468428,468426,0,,468428,468426,0,,468428,468426,0,,1873712,1873706,0,359752320,359751360,0,0,0,0,
359869,359869,0,,359868,359868,0,,359868,359868,0,,359868,359868,0,,1439473,1439473,0,276378710,276378710,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
325850,325850,0,,321325,321354,0,,316193,316225,0,,288995,289027,0,,1252363,1252456,0,240453590,240475286,93800,0,0,0,
661479,661479,0,,653638,653641,0,,642240,642240,0,,587874,587874,0,,2545231,2545234,0,488684352,488684160,254138,0,0,0,
662114,662114,0,,653377,653377,0,,641999,641999,0,,587442,587442,0,,2544932,2544932,0,488626838,488627030,254536,0,0,0,
659772,659772,0,,651273,651272,0,,640335,640335,0,,586411,586411,0,,2537791,2537790,0,487255872,487254528,261663,0,0,0,
661588,661588,0,,652541,652541,0,,642422,642422,0,,587479,587479,0,,2544030,2544030,0,488453654,488451734,255436,0,0,0,
661678,661678,0,,652495,652496,0,,642894,642894,0,,587533,587533,0,,2544600,2544601,0,488563200,488564736,254837,0,0,0,
662132,662132,0,,653644,653644,0,,642283,642283,0,,587464,587464,0,,2545523,2545523,0,488740310,488744726,253969,0,0,0,
662086,662086,0,,653302,653302,0,,643032,643032,0,,587803,587803,0,,2546223,2546223,0,488874816,488871936,253224,0,0,0,
661573,661573,0,,653198,653198,0,,642617,642617,0,,586989,586989,0,,2544377,2544377,0,488520384,488521728,255199,0,0,0,
661675,661675,0,,652476,652476,0,,641874,641874,0,,586580,586580,0,,2542605,2542605,0,488180160,488179584,256762,0,0,0,
660618,660618,0,,652493,652493,0,,641378,641378,0,,586780,586780,0,,2541269,2541269,0,487923542,487921430,258181,0,0,0,
661633,661633,0,,652902,652902,0,,641442,641442,0,,587072,587069,0,,2543049,2543046,0,488265408,488265216,256263,0,0,0,
659851,659851,0,,651654,651654,0,,641166,641166,0,,585908,585911,0,,2538579,2538582,0,487407062,487406870,260812,0,0,0,
662043,662043,0,,653206,653206,0,,642431,642431,0,,586696,586696,0,,2544376,2544376,0,488520192,488521536,255073,0,0,0,
660545,660545,0,,652157,652157,0,,641335,641335,0,,586989,586988,0,,2541026,2541025,0,487876886,487876118,258407,0,0,0,
661597,661597,0,,654006,654006,0,,643431,643431,0,,588059,588060,0,,2547093,2547094,0,489041856,489043392,252341,0,0,0,
