Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
370686,370686,0,,362234,362234,0,,359502,359502,0,,310288,310288,0,,346829,346829,0,,364436,364438,0,,2113975,2113977,0,405883200,405885120,12824354,0,0,0,
27115,27115,0,,26716,26684,0,,26538,26506,0,,23998,23966,0,,25835,25803,0,,26632,26600,0,,156834,156674,0,30112128,30079872,647517,0,0,0,
82829,82829,0,,80291,80322,0,,79710,79741,0,,68955,68987,0,,77392,77424,0,,80975,81007,0,,470152,470310,0,90269184,90303168,1144144,0,0,0,
370371,370371,0,,361640,361641,0,,358653,358654,0,,310631,310631,0,,346992,346990,0,,363514,363514,0,,2111801,2111801,0,405471552,405472896,5358478,0,0,0,
370602,370602,0,,361440,361440,0,,358449,358446,0,,310566,310566,0,,346187,346187,0,,364301,364301,0,,2111545,2111542,0,405410880,405407424,5358933,0,0,0,
370731,370731,0,,361367,361365,0,,359074,359077,0,,310550,310549,0,,347246,347245,0,,365465,365465,0,,2114433,2114432,0,405971136,405970368,5355806,0,0,0,
370911,370911,0,,361831,361830,0,,359561,359561,0,,311145,311145,0,,346851,346854,0,,363779,363779,0,,2114078,2114080,0,405902976,405903360,5356274,0,0,0,
371116,371116,0,,361767,361769,0,,358975,358972,0,,310289,310288,0,,346337,346334,0,,363309,363309,0,,2111793,2111788,0,405464256,405463680,5358305,0,0,0,
370511,370511,0,,361754,361755,0,,359310,359312,0,,310271,310273,0,,346353,346356,0,,363894,363891,0,,2112093,2112098,0,405521856,405520896,5358421,0,0,0,
370719,370719,0,,362587,362587,0,,359936,359937,0,,311088,311088,0,,346825,346824,0,,364743,364746,0,,2115898,2115901,0,406252416,406255104,5354263,0,0,0,
370277,370277,0,,362064,362063,0,,358561,358561,0,,309724,309721,0,,346089,346090,0,,363719,363717,0,,2110434,2110429,0,405203328,405201792,5359631,0,0,0,
369438,369438,0,,361853,361854,0,,359455,359454,0,,310664,310666,0,,346833,346831,0,,364121,364123,0,,2112364,2112366,0,405573888,405572736,5357789,0,0,0,
370318,370318,0,,361394,361392,0,,358597,358598,0,,311728,311727,0,,346365,346367,0,,364062,364062,0,,2112464,2112464,0,405593088,405595968,5357222,0,0,0,
370449,370449,0,,361203,361202,0,,358905,358905,0,,310605,310604,0,,346752,346751,0,,364541,364540,0,,2112455,2112451,0,405591360,405587712,5357715,0,0,0,
370644,370644,0,,362307,362310,0,,359320,359318,0,,311087,311088,0,,346750,346751,0,,364421,364422,0,,2114529,2114533,0,405989568,405991488,5355612,0,0,0,
370704,370704,0,,361652,361650,0,,359194,359196,0,,311104,311106,0,,346519,346517,0,,364193,364193,0,,2113366,2113366,0,405766272,405768000,5356794,0,0,0,
370852,370852,0,,361354,361356,0,,358804,358803,0,,310747,310746,0,,346509,346511,0,,363974,363974,0,,2112240,2112242,0,405550080,405550080,5358207,0,0,0,
371012,371012,0,,361682,361681,0,,358934,358933,0,,311128,311129,0,,346358,346355,0,,364127,364127,0,,2113241,2113237,0,405742272,405740544,5357012,0,0,0,
369813,369813,0,,360952,360953,0,,359112,359114,0,,311166,311166,0,,346118,346120,0,,363913,363911,0,,2111074,2111077,0,405326208,405326016,5359493,0,0,0,
371306,371306,0,,362501,362498,0,,358787,358787,0,,310063,310063,0,,346357,346358,0,,363910,363912,0,,2112924,2112924,0,405681408,405681216,5357476,0,0,0,
371119,371119,0,,363002,363005,0,,358848,358846,0,,311116,311116,0,,346963,346963,0,,363849,363849,0,,2114897,2114898,0,406060224,406059840,5355421,0,0,0,
370924,370924,0,,361621,361621,0,,358144,358146,0,,310524,310524,0,,346957,346957,0,,363011,363011,0,,2111181,2111183,0,405346752,405348864,5359118,0,0,0,
370266,370266,0,,361281,361279,0,,358495,358495,0,,309732,309732,0,,346508,346508,0,,364326,364325,0,,2110608,2110605,0,405236736,405236544,5359670,0,0,0,
371210,371210,0,,361336,361335,0,,358900,358900,0,,310587,310585,0,,346330,346330,0,,364374,364372,0,,2112737,2112732,0,405645504,405644736,5357777,0,0,0,
370664,370664,0,,362138,362141,0,,358941,358941,0,,310854,310855,0,,346648,346646,0,,364390,364392,0,,2113635,2113639,0,405817920,405817344,5356615,0,0,0,
370617,370617,0,,362317,362317,0,,358710,358710,0,,310766,310767,0,,347183,347185,0,,363999,364000,0,,2113592,2113596,0,405815808,405816960,5356661,0,0,0,
166272,166272,0,,163077,163045,0,,161529,161497,0,,141048,141016,0,,156497,156465,0,,163765,163733,0,,952188,952028,0,182813952,182781888,2291489,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
302807,302807,0,,296150,296181,0,,293384,293416,0,,253348,253377,0,,283554,283586,0,,297235,297267,0,,1726478,1726634,0,331483776,331515264,1277812,0,0,0,
370009,370009,0,,361184,361185,0,,359322,359321,0,,311290,311290,0,,345543,345543,0,,363816,363816,0,,2111164,2111164,0,405343488,405343296,1624395,0,0,0,
370786,370786,0,,361438,361438,0,,359066,359067,0,,310963,310964,0,,346045,346045,0,,364294,364292,0,,2112592,2112592,0,405617664,405619776,1622922,0,0,0,
371008,371008,0,,362109,362109,0,,358806,358805,0,,310557,310559,0,,346909,346909,0,,363820,363822,0,,2113209,2113212,0,405736128,405734976,1622140,0,0,0,
370869,370869,0,,362119,362117,0,,358310,358309,0,,310691,310691,0,,346565,346565,0,,362774,362774,0,,2111328,2111325,0,405374976,405375168,1624190,0,0,0,
371089,371089,0,,361086,361088,0,,358751,358753,0,,311069,311068,0,,346586,346586,0,,363562,363562,0,,2112143,2112146,0,405531456,405532032,1623381,0,0,0,
370448,370448,0,,361481,361481,0,,358448,358448,0,,310994,310995,0,,346521,346518,0,,363975,363974,0,,2111867,2111864,0,405478464,405478272,1623498,0,0,0,
370967,370967,0,,361179,361178,0,,358488,358488,0,,310707,310707,0,,345566,345566,0,,363737,363738,0,,2110644,2110644,0,405243648,405244416,1625048,0,0,0,
370832,370832,0,,361204,361202,0,,358653,358653,0,,311002,311002,0,,346249,346252,0,,363655,363655,0,,2111595,2111596,0,405432384,405432768,1623711,0,0,0,
370340,370340,0,,360774,360775,0,,358788,358786,0,,311055,311055,0,,346539,346539,0,,363963,363963,0,,2111459,2111458,0,405393984,405395136,1624044,0,0,0,
370586,370586,0,,361885,361887,0,,359078,359080,0,,311066,311065,0,,346840,346840,0,,364011,364011,0,,2113466,2113469,0,405791616,405784128,1622044,0,0,0,
370664,370664,0,,362876,362873,0,,359159,359159,0,,311166,311164,0,,346330,346330,0,,363530,363528,0,,2113725,2113718,0,405829056,405834432,1621878,0,0,0,
371129,371129,0,,361137,361140,0,,358822,358822,0,,310952,310952,0,,346767,346767,0,,363773,363773,0,,2112580,2112583,0,405615360,405612480,1622827,0,0,0,
370932,370932,0,,361158,361158,0,,359059,359056,0,,310539,310541,0,,346725,346725,0,,364046,364048,0,,2112459,2112460,0,405592128,405595968,1623122,0,0,0,
369651,369651,0,,361509,361509,0,,358820,358821,0,,310771,310769,0,,345986,345986,0,,362888,362887,0,,2109625,2109623,0,405048000,405048000,1625873,0,0,0,
370810,370810,0,,361236,361235,0,,359057,359059,0,,310891,310894,0,,346268,346267,0,,364160,364161,0,,2112422,2112426,0,405585024,405585600,1623103,0,0,0,
370582,370582,0,,362091,362092,0,,359123,359123,0,,310703,310703,0,,346218,346218,0,,363822,363822,0,,2112539,2112540,0,405607488,405605760,1623100,0,0,0,
370086,370086,0,,362220,362220,0,,358742,358741,0,,311757,311754,0,,347026,347027,0,,363927,363927,0,,2113758,2113755,0,405841536,405840384,1621859,0,0,0,
370065,370065,0,,361667,361667,0,,358598,358597,0,,310971,310971,0,,346035,346035,0,,364177,364177,0,,2111513,2111512,0,405410496,405413184,1624204,0,0,0,
