Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
12712207,12712207,0,,12469007,12469005,0,,25181214,25181212,0,4280800940,4834789632,1073985,0,0,0,
12710741,12710741,0,,12467225,12467225,0,,25177966,25177966,0,4280259320,4834179456,1077852,0,0,0,
12706711,12706711,0,,12468291,12468293,0,,25175002,25175004,0,4279750680,4833596928,1079952,0,0,0,
12708700,12708700,0,,12466952,12466950,0,,25175652,25175650,0,4279860500,4833724416,1079787,0,0,0,
12712241,12712241,0,,12471638,12471640,0,,25183879,25183881,0,4281259770,4835299776,1071054,0,0,0,
12710883,12710883,0,,12469261,12469229,0,,25180144,25180112,0,4280619040,4834595904,1074831,0,0,0,
12705176,12705176,0,,12466486,12466486,0,,25171662,25171662,0,4279182540,4832951808,1083555,0,0,0,
12709960,12709960,0,,12469403,12469435,0,,25179363,25179395,0,4280497150,4834437120,1076056,0,0,0,
12708401,12708401,0,,12469459,12469458,0,,25177860,25177859,0,4280230760,4834152768,1076787,0,0,0,
12707615,12707615,0,,12470158,12470159,0,,25177773,25177774,0,4280226850,4834134912,1076470,0,0,0,
12709916,12709916,0,,12469375,12469375,0,,25179291,25179291,0,4280474030,4834417536,1075893,0,0,0,
12704648,12704648,0,,12462185,12462185,0,,25166833,25166833,0,4278367050,4832039424,1088177,0,0,0,
12711804,12711804,0,,12463930,12463898,0,,25175734,25175702,0,4279869340,4833732672,1078854,0,0,0,
12707884,12707884,0,,12468559,12468591,0,,25176443,25176475,0,4279995310,4833879552,1078936,0,0,0,
12708305,12708305,0,,12465066,12465066,0,,25173371,25173371,0,4279478510,4833297408,1081590,0,0,0,
12714038,12714038,0,,12468480,12468480,0,,25182518,25182518,0,4281028060,4835037504,1072427,0,0,0,
12711555,12711555,0,,12465207,12465206,0,,25176762,25176761,0,4280044100,4833931584,1078076,0,0,0,
12708791,12708791,0,,12467301,12467270,0,,25176092,25176061,0,4279935640,4833809664,1078622,0,0,0,
12706124,12706124,0,,12465257,12465289,0,,25171381,25171413,0,4279134770,4832907840,1084025,0,0,0,
10403844,10403844,0,,10211252,10211220,0,,20615096,20615064,0,3504566320,3958089792,882406,0,0,0,
