Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
11014428,11014428,0,,11064750,11064750,0,,11250878,11250879,0,,33330056,33330057,0,8532502528,8532500736,464822,0,0,0,
11014237,11014237,0,,11065572,11065572,0,,11251987,11251955,0,,33331796,33331764,0,8532939776,8532930816,468767,0,0,0,
11016961,11016961,0,,11065352,11065352,0,,11250776,11250808,0,,33333089,33333121,0,8533270784,8533278464,469053,0,0,0,
11014006,11014006,0,,11064232,11064232,0,,11250539,11250538,0,,33328777,33328776,0,8532158720,8532151040,467958,0,0,0,
11014968,11014968,0,,11065472,11065471,0,,11252032,11252033,0,,33332472,33332472,0,8533112832,8533114880,464798,0,0,0,
11016836,11016836,0,,11065511,11065480,0,,11250993,11250993,0,,33333340,33333309,0,8533343232,8533351168,471015,0,0,0,
11016321,11016321,0,,11064460,11064460,0,,11250598,11250598,0,,33331379,33331379,0,8532824832,8532825856,465802,0,0,0,
11016371,11016371,0,,11064884,11064916,0,,11251389,11251389,0,,33332644,33332676,0,8533165056,8533158144,463120,0,0,0,
11017272,11017272,0,,11065334,11065333,0,,11251471,11251471,0,,33334077,33334076,0,8533531648,8533527296,468223,0,0,0,
11015921,11015921,0,,11065425,11065426,0,,11250967,11250966,0,,33332313,33332313,0,8533064192,8533074432,468414,0,0,0,
6228191,6228191,0,,6248443,6248411,0,,6355757,6355726,0,,18832391,18832328,0,4821083904,4821056512,261623,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
2280728,2280728,0,,2266027,2266056,0,,2300209,2300239,0,,6846964,6847023,0,1752822784,1752843776,60108,0,0,0,
11003747,11003747,0,,10912875,10912878,0,,11095218,11095220,0,,33011840,33011845,0,8451047424,8451046656,319135,0,0,0,
11002760,11002760,0,,10910542,10910539,0,,11095384,11095384,0,,33008686,33008683,0,8450222848,8450214144,320639,0,0,0,
