Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
519179,519179,0,,1840679,1840669,0,,436361,436362,0,,1439165,1439165,0,,10110463,10110438,0,,591307,591307,0,,14937154,14937120,0,2867925696,2867931648,0,0,0,0,
519297,519297,0,,1840880,1840912,0,,436561,436560,0,,1439635,1439635,0,,10109156,10109149,0,,591529,591529,0,,14937058,14937082,0,2867922048,2867910144,0,0,0,0,
519271,519271,0,,1840307,1840275,0,,436347,436347,0,,1439039,1439039,0,,10110560,10110581,0,,591422,591422,0,,14936946,14936935,0,2867892480,2867892480,0,0,0,0,
519338,519338,0,,1840874,1840874,0,,436407,436407,0,,1439300,1439301,0,,10109693,10109704,0,,591388,591388,0,,14937000,14937012,0,2867909376,2867912256,0,0,0,0,
519166,519166,0,,1840667,1840699,0,,436358,436358,0,,1439028,1439027,0,,10110212,10110180,0,,591325,591325,0,,14936756,14936755,0,2867853312,2867851968,0,0,0,0,
519282,519282,0,,1840727,1840695,0,,436526,436526,0,,1439556,1439556,0,,10108256,10108265,0,,591487,591487,0,,14935834,14935811,0,2867673792,2867683584,0,0,0,0,
436272,436272,0,,1546307,1546307,0,,366625,366625,0,,1209137,1209137,0,,8494372,8494363,0,,496902,496902,0,,12549615,12549606,0,2409524544,2409513216,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
324188,324188,0,,1149046,1149050,0,,272458,272459,0,,898524,898524,0,,6101723,6101755,0,,369215,369215,0,,9115154,9115191,0,1750117248,1750123392,200724,0,0,0,
783690,783690,0,,2777973,2777969,0,,658649,658648,0,,2172157,2172157,0,,14754751,14754751,0,,892573,892573,0,,22039793,22039788,0,4231639680,4231642176,502721,0,0,0,
783697,783697,0,,2777909,2777926,0,,658629,658630,0,,2172064,2172064,0,,14765223,14765223,0,,892557,892557,0,,22050079,22050097,0,4233618048,4233616704,491889,0,0,0,
