Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
1079849,1079849,0,,1008115,1008120,0,,1045361,1045361,0,,1171204,1171204,0,,4304529,4304534,0,1101960704,1101989632,0,0,0,0,
10186569,10186569,0,,9554504,9554531,0,,9857029,9857035,0,,11072258,11072290,0,,40670360,40670425,0,10411620608,10411609856,0,0,0,0,
10194327,10194327,0,,9549529,9549529,0,,9854821,9854847,0,,11071816,11071816,0,,40670493,40670519,0,10411661056,10411658496,0,0,0,0,
10189841,10189841,0,,9550835,9550835,0,,9860050,9860050,0,,11071755,11071755,0,,40672481,40672481,0,10412155136,10412166400,0,0,0,0,
10191026,10191026,0,,9554282,9554282,0,,9855323,9855323,0,,11072857,11072857,0,,40673488,40673488,0,10412412928,10412410112,0,0,0,0,
10192523,10192523,0,,9547760,9547748,0,,9856476,9856476,0,,11070561,11070559,0,,40667320,40667306,0,10410830336,10410821376,0,0,0,0,
10185617,10185617,0,,9552081,9552085,0,,9858096,9858064,0,,11070861,11070863,0,,40666655,40666629,0,10410657024,10410667264,0,0,0,0,
10194045,10194045,0,,9551646,9551622,0,,9854797,9854826,0,,11072790,11072790,0,,40673278,40673283,0,10412352256,10412348928,0,0,0,0,
10192517,10192517,0,,9550241,9550241,0,,9858562,9858565,0,,11071890,11071887,0,,40673210,40673210,0,10412349952,10412348928,0,0,0,0,
10187184,10187184,0,,9554411,9554411,0,,9856810,9856810,0,,11072295,11072298,0,,40670700,40670703,0,10411691776,10411685632,0,0,0,0,
10193893,10193893,0,,9548932,9548964,0,,9854868,9854836,0,,11071448,11071448,0,,40669141,40669141,0,10411300096,10411303424,0,0,0,0,
10187552,10187552,0,,9551169,9551159,0,,9860255,9860287,0,,11071704,11071704,0,,40670680,40670702,0,10411699712,10411699968,0,0,0,0,
10192987,10192987,0,,9553712,9553690,0,,9854118,9854118,0,,11073021,11073021,0,,40673838,40673816,0,10412508416,10412504832,0,0,0,0,
10192532,10192532,0,,9547824,9547848,0,,9857834,9857802,0,,11071022,11071022,0,,40669212,40669204,0,10411307008,10411318528,0,0,0,0,
10186524,10186524,0,,9554378,9554376,0,,9857257,9857257,0,,11071903,11071903,0,,40670062,40670060,0,10411541248,10411536640,0,0,0,0,
10194320,10194320,0,,9549242,9549252,0,,9855778,9855778,0,,11072575,11072575,0,,40671915,40671925,0,10412012800,10412020736,0,0,0,0,
10190171,10190171,0,,9551020,9551008,0,,9858549,9858581,0,,11071519,11071487,0,,40671259,40671247,0,10411831040,10411825664,0,0,0,0,
10190209,10190209,0,,9554600,9554604,0,,9856108,9856108,0,,11072111,11072143,0,,40673028,40673064,0,10412296192,10412306176,0,0,0,0,
801693,801693,0,,749356,749332,0,,773131,773099,0,,870447,870415,0,,3194627,3194539,0,817818368,817784064,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
8164110,8164110,0,,7671568,7671600,0,,7918668,7918686,0,,8572357,8572389,0,,32326703,32326785,0,8275648768,8275687424,335313,0,0,0,
10679081,10679081,0,,10039768,10039736,0,,10361151,10361165,0,,11155855,11155855,0,,42235855,42235837,0,10812374272,10812366336,515035,0,0,0,
10675527,10675527,0,,10039453,10039453,0,,10361722,10361722,0,,11156497,11156465,0,,42233199,42233167,0,10811698944,10811693056,518540,0,0,0,
10671287,10671287,0,,10021741,10021773,0,,10341024,10341018,0,,11158622,11158654,0,,42192674,42192732,0,10801331200,10801336320,479520,0,0,0,
10675678,10675678,0,,10032504,10032504,0,,10354764,10354747,0,,11157594,11157594,0,,42220540,42220523,0,10808453888,10808447232,501266,0,0,0,
10670478,10670478,0,,10028790,10028790,0,,10348664,10348687,0,,11155485,11155485,0,,42203417,42203440,0,10804088832,10804088064,499556,0,0,0,
