Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
10659009,10659009,0,,10003432,10003430,0,,10321582,10321567,0,,11159121,11159124,0,,42143144,42143130,0,10788641792,10788640768,448261,0,0,0,
10650122,10650122,0,,10009150,10009167,0,,10330714,10330729,0,,11143338,11143338,0,,42133324,42133356,0,10786130944,10786143488,488313,0,0,0,
10659314,10659314,0,,10011458,10011472,0,,10335244,10335212,0,,11152880,11152880,0,,42158896,42158878,0,10792683776,10792673792,477923,0,0,0,
10661257,10661257,0,,10014953,10014944,0,,10334471,10334503,0,,11154878,11154878,0,,42165559,42165582,0,10794386176,10794387456,478227,0,0,0,
10665150,10665150,0,,10019907,10019914,0,,10341025,10341025,0,,11154952,11154952,0,,42181034,42181041,0,10798338304,10798339584,486183,0,0,0,
1722159,1722159,0,,1616310,1616281,0,,1665248,1665216,0,,1814202,1814170,0,,6817919,6817826,0,1745371648,1745349376,75382,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
5915169,5915169,0,,5562010,5562010,0,,5740787,5740819,0,,6217388,6217420,0,,23435354,23435418,0,5999467008,5999483648,236976,0,0,0,
10673121,10673121,0,,10036982,10036982,0,,10358160,10358128,0,,11147192,11147192,0,,42215455,42215423,0,10807148288,10807167488,523989,0,0,0,
10673386,10673386,0,,10036327,10036359,0,,10357864,10357864,0,,11148880,11148880,0,,42216457,42216489,0,10807412992,10807394816,520427,0,0,0,
10661517,10661517,0,,10029246,10029230,0,,10350050,10350050,0,,11139326,11139294,0,,42180139,42180091,0,10798113280,10798119936,526535,0,0,0,
10673788,10673788,0,,10030467,10030477,0,,10351889,10351921,0,,11150218,11150249,0,,42206362,42206435,0,10804829440,10804833536,505815,0,0,0,
10674860,10674860,0,,10038020,10038026,0,,10359147,10359147,0,,11150379,11150380,0,,42222406,42222413,0,10808945664,10808957440,521011,0,0,0,
10676212,10676212,0,,10040310,10040310,0,,10361002,10360984,0,,11153263,11153263,0,,42230787,42230769,0,10811085056,10811069696,520921,0,0,0,
10670459,10670459,0,,10027949,10027949,0,,10349410,10349421,0,,11155198,11155198,0,,42203016,42203027,0,10803966720,10803971840,499691,0,0,0,
10645913,10645913,0,,10000391,10000376,0,,10323624,10323631,0,,11142065,11142033,0,,42111993,42111953,0,10780668160,10780666880,479787,0,0,0,
10631858,10631858,0,,9986285,9986268,0,,10303867,10303867,0,,11151005,11151037,0,,42073015,42073030,0,10770695680,10770697984,447562,0,0,0,
10663456,10663456,0,,10018024,10018047,0,,10336808,10336808,0,,11153657,11153657,0,,42171945,42171968,0,10796015616,10796001792,483996,0,0,0,
10664461,10664461,0,,10017486,10017484,0,,10337326,10337326,0,,11157003,11157003,0,,42176276,42176274,0,10797126912,10797131776,476297,0,0,0,
