Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
446022,446022,0,,385749,385746,0,,447772,447773,0,,425888,425889,0,,438631,438633,0,,2144062,2144063,0,411659904,411659520,5326566,0,0,0,
446064,446064,0,,384732,384735,0,,447516,447516,0,,425661,425662,0,,438279,438278,0,,2142252,2142255,0,411312384,411315840,5327707,0,0,0,
444339,444339,0,,385183,385182,0,,446894,446894,0,,425665,425666,0,,438133,438134,0,,2140214,2140215,0,410921088,410920320,5329842,0,0,0,
445631,445631,0,,385155,385156,0,,448633,448630,0,,425360,425358,0,,437893,437892,0,,2142672,2142667,0,411399168,411395328,5327264,0,0,0,
446095,446095,0,,385432,385431,0,,447583,447584,0,,426080,426082,0,,438508,438507,0,,2143698,2143699,0,411583872,411584640,5326686,0,0,0,
446326,446326,0,,385231,385231,0,,447313,447313,0,,425305,425305,0,,437978,437979,0,,2142153,2142154,0,411293270,411293462,5328155,0,0,0,
446577,446577,0,,385577,385577,0,,447965,447965,0,,426585,426585,0,,439327,439328,0,,2146031,2146032,0,412037952,412039488,5323682,0,0,0,
446432,446432,0,,385893,385892,0,,447500,447501,0,,425848,425848,0,,438705,438705,0,,2144378,2144378,0,411720576,411720384,5325805,0,0,0,
445812,445812,0,,385297,385299,0,,447685,447685,0,,425809,425809,0,,437613,437611,0,,2142216,2142216,0,411305472,411307008,5327993,0,0,0,
446089,446089,0,,386209,386209,0,,448458,448457,0,,426360,426360,0,,438147,438147,0,,2145263,2145262,0,411896640,411893568,5324696,0,0,0,
446024,446024,0,,384911,384911,0,,447512,447512,0,,425742,425740,0,,438605,438607,0,,2142794,2142794,0,411416448,411416832,5327398,0,0,0,
263944,263944,0,,229335,229303,0,,264603,264573,0,,252668,252638,0,,259692,259660,0,,1270242,1270118,0,243880320,243856320,3051317,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
308439,308439,0,,266373,266405,0,,309429,309461,0,,294076,294106,0,,303488,303520,0,,1481805,1481931,0,284512214,284539478,1060797,0,0,0,
