Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
1059737,1059737,0,,1022344,1022359,0,,1038709,1038718,0,,3120790,3120814,0,798922240,798928384,0,0,0,0,
1059441,1059441,0,,1020946,1020963,0,,1040399,1040417,0,,3120786,3120821,0,798921216,798933248,0,0,0,0,
1059589,1059589,0,,1022025,1021993,0,,1039250,1039223,0,,3120864,3120805,0,798941184,798923264,0,0,0,0,
1058373,1058373,0,,1022424,1022424,0,,1039995,1039995,0,,3120792,3120792,0,798922752,798922496,0,0,0,0,
1061451,1061451,0,,1020600,1020600,0,,1038725,1038725,0,,3120776,3120776,0,798918656,798918656,0,0,0,0,
1061811,1061811,0,,1020424,1020424,0,,1038541,1038541,0,,3120776,3120776,0,798918656,798918656,0,0,0,0,
1061865,1061865,0,,1020382,1020404,0,,1038539,1038567,0,,3120786,3120836,0,798921216,798934016,0,0,0,0,
1062067,1062067,0,,1020225,1020231,0,,1038512,1038495,0,,3120804,3120793,0,798935808,798923008,0,0,0,0,
1061347,1061347,0,,1020916,1020910,0,,1038555,1038576,0,,3120818,3120833,0,798933248,798933504,0,0,0,0,
1059407,1059407,0,,1022772,1022750,0,,1038675,1038643,0,,3120854,3120800,0,798924800,798924544,0,0,0,0,
1059855,1059855,0,,1022802,1022802,0,,1038119,1038119,0,,3120776,3120776,0,798918656,798918656,0,0,0,0,
1060781,1060781,0,,1022235,1022235,0,,1037760,1037760,0,,3120776,3120776,0,798918656,798920448,0,0,0,0,
1059459,1059459,0,,1022604,1022631,0,,1038733,1038763,0,,3120796,3120853,0,798923776,798936576,0,0,0,0,
190191,190191,0,,188868,188841,0,,190491,190461,0,,569550,569493,0,145804800,145790208,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
648647,648647,0,,667836,667868,0,,678727,678759,0,,1995210,1995274,0,510773760,510791424,925887,0,0,0,
1035089,1035089,0,,1065457,1065456,0,,1083695,1083695,0,,3184241,3184240,0,815165696,815166208,1512299,0,0,0,
1035767,1035767,0,,1065546,1065547,0,,1084486,1084486,0,,3185799,3185800,0,815564544,815571968,1510762,0,0,0,
1034413,1034413,0,,1063641,1063609,0,,1082692,1082692,0,,3180746,3180714,0,814270976,814262528,1515683,0,0,0,
1033328,1033328,0,,1065790,1065822,0,,1083473,1083471,0,,3182591,3182621,0,814743296,814742016,1513877,0,0,0,
1034281,1034281,0,,1064757,1064756,0,,1084285,1084255,0,,3183323,3183292,0,814930688,814936576,1513154,0,0,0,
1034255,1034255,0,,1065859,1065858,0,,1083136,1083168,0,,3183250,3183281,0,814912000,814911232,1513328,0,0,0,
1034292,1034292,0,,1064917,1064918,0,,1084994,1084993,0,,3184203,3184203,0,815155968,815151616,1512236,0,0,0,
1035081,1035081,0,,1064333,1064334,0,,1084815,1084816,0,,3184229,3184231,0,815162624,815170560,1512290,0,0,0,
1034459,1034459,0,,1065716,1065716,0,,1085272,1085272,0,,3185447,3185447,0,815482624,815477248,1510965,0,0,0,
1034187,1034187,0,,1065305,1065305,0,,1084263,1084263,0,,3183755,3183755,0,815033088,815032064,1512889,0,0,0,
1034798,1034798,0,,1064457,1064457,0,,1083864,1083864,0,,3183119,3183119,0,814878464,814880768,1513455,0,0,0,
1035580,1035580,0,,1065043,1065043,0,,1082837,1082837,0,,3183460,3183460,0,814965760,814966784,1513092,0,0,0,
1035531,1035531,0,,1065160,1065158,0,,1084364,1084362,0,,3185055,3185051,0,815374080,815367936,1511445,0,0,0,
1034373,1034373,0,,1066005,1066007,0,,1083930,1083932,0,,3184308,3184312,0,815182848,815190528,1512191,0,0,0,
1034963,1034963,0,,1064453,1064450,0,,1083879,1083879,0,,3183295,3183292,0,814923520,814925568,1513198,0,0,0,
1034349,1034349,0,,1064601,1064604,0,,1084195,1084195,0,,3183145,3183148,0,814885120,814884096,1513335,0,0,0,
473600,473600,0,,486259,486227,0,,496035,496003,0,,1455894,1455830,0,372708864,372684800,681126,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
367143,367143,0,,377619,377651,0,,384433,384465,0,,1129195,1129259,0,289090304,289101312,235109,0,0,0,
1035532,1035532,0,,1064887,1064887,0,,1084105,1084105,0,,3184524,3184524,0,815221760,815232512,730428,0,0,0,
1035690,1035690,0,,1065313,1065313,0,,1084107,1084104,0,,3185110,3185107,0,815388160,815388160,730073,0,0,0,
1034666,1034666,0,,1064756,1064756,0,,1084698,1084701,0,,3184120,3184123,0,815134720,815136256,730856,0,0,0,
1034436,1034436,0,,1065441,1065441,0,,1084142,1084142,0,,3184019,3184019,0,815108864,815103744,731047,0,0,0,
