Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
288146,288146,0,,274939,274939,0,,269427,269430,0,,261234,261231,0,,233477,233475,0,,280172,280173,0,,279962,279961,0,,1887357,1887355,0,362366976,362368128,5583027,0,0,0,
288748,288748,0,,274974,274974,0,,270478,270477,0,,261496,261499,0,,234624,234627,0,,280413,280410,0,,280513,280512,0,,1891246,1891247,0,363119126,363117014,5579252,0,0,0,
287972,287972,0,,274182,274182,0,,269029,269030,0,,261684,261684,0,,233619,233619,0,,279308,279308,0,,280139,280139,0,,1885933,1885934,0,362099136,362100672,5584690,0,0,0,
287868,287868,0,,274889,274889,0,,269981,269979,0,,261881,261881,0,,234195,234193,0,,280248,280251,0,,280691,280693,0,,1889753,1889754,0,362832576,362831424,5580372,0,0,0,
288843,288843,0,,274828,274828,0,,269320,269322,0,,261318,261318,0,,233602,233601,0,,279860,279860,0,,280592,280591,0,,1888363,1888363,0,362565696,362567232,5582020,0,0,0,
288085,288085,0,,274620,274620,0,,269593,269593,0,,262027,262026,0,,234568,234569,0,,279651,279651,0,,279127,279128,0,,1887671,1887672,0,362432726,362432150,5582357,0,0,0,
288201,288201,0,,274415,274415,0,,269774,269774,0,,261478,261478,0,,234577,234579,0,,280010,280009,0,,280167,280167,0,,1888622,1888623,0,362615424,362614848,5582309,0,0,0,
288475,288475,0,,275037,275034,0,,270037,270036,0,,261628,261629,0,,235199,235198,0,,279999,280000,0,,279642,279640,0,,1890017,1890012,0,362883264,362882304,5580255,0,0,0,
288184,288184,0,,275589,275589,0,,269720,269721,0,,262551,262551,0,,234313,234312,0,,280575,280573,0,,280859,280861,0,,1891791,1891791,0,363223872,363223872,5578783,0,0,0,
287557,287557,0,,274351,274354,0,,269572,269572,0,,261595,261592,0,,234043,234045,0,,279377,279379,0,,279941,279941,0,,1886436,1886440,0,362195712,362196480,5584071,0,0,0,
289345,289345,0,,274843,274843,0,,270792,270789,0,,262014,262017,0,,234784,234784,0,,279861,279861,0,,281229,281228,0,,1892868,1892867,0,363430656,363430464,5577186,0,0,0,
288372,288372,0,,274327,274327,0,,269971,269972,0,,261484,261484,0,,234646,234644,0,,279974,279972,0,,280556,280557,0,,1889330,1889328,0,362751360,362752320,5581047,0,0,0,
289090,289090,0,,275591,275591,0,,270144,270146,0,,262074,262073,0,,235166,235168,0,,280945,280947,0,,280370,280369,0,,1893380,1893384,0,363528960,363528384,5577142,0,0,0,
288374,288374,0,,274142,274142,0,,269983,269983,0,,262106,262106,0,,234145,234145,0,,279516,279516,0,,279969,279970,0,,1888235,1888236,0,362541120,362541696,5582246,0,0,0,
288243,288243,0,,274490,274488,0,,269558,269558,0,,261796,261794,0,,235212,235211,0,,280418,280417,0,,280676,280674,0,,1890393,1890385,0,362961216,362959488,5579535,0,0,0,
288717,288717,0,,275595,275595,0,,270343,270342,0,,261917,261920,0,,234555,234553,0,,280582,280582,0,,280333,280335,0,,1892042,1892044,0,363266198,363268502,5578131,0,0,0,
288671,288671,0,,274808,274810,0,,269467,269468,0,,261159,261156,0,,234373,234374,0,,280639,280640,0,,280836,280836,0,,1889953,1889955,0,362870976,362871936,5579337,0,0,0,
288694,288694,0,,274755,274753,0,,269646,269644,0,,261737,261738,0,,234176,234178,0,,279684,279683,0,,279675,279674,0,,1888367,1888364,0,362566464,362563200,5582111,0,0,0,
