Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
2499813,2499813,0,,2499813,2499813,0,,2499800,2499800,0,,2499800,2499803,0,,9999226,9999229,0,1449887770,1919854272,0,0,0,0,
2499824,2499824,0,,2499816,2499831,0,,2499811,2499811,0,,2499800,2499808,0,,9999251,9999274,0,1449892990,1919862336,0,0,0,0,
2499841,2499841,0,,2499849,2499834,0,,2499829,2499829,0,,2499840,2499829,0,,9999359,9999333,0,1449905460,1919867904,0,0,0,0,
2499813,2499813,0,,2499813,2499813,0,,2499800,2499800,0,,2499800,2499800,0,,9999226,9999226,0,1449887770,1919856384,0,0,0,0,
2499845,2499845,0,,2499818,2499844,0,,2499815,2499832,0,,2499807,2499832,0,,9999285,9999353,0,1449906185,1919870976,0,0,0,0,
2499821,2499821,0,,2499847,2499821,0,,2499825,2499808,0,,2499833,2499808,0,,9999326,9999258,0,1449892410,1919864256,0,0,0,0,
2499844,2499844,0,,2499820,2499845,0,,2499807,2499832,0,,2499815,2499832,0,,9999286,9999353,0,1449906185,1919868864,0,0,0,0,
2499825,2499825,0,,2499845,2499828,0,,2499833,2499816,0,,2499825,2499808,0,,9999328,9999277,0,1449894005,1919866752,0,0,0,0,
2499840,2499840,0,,2499820,2499837,0,,2499822,2499824,0,,2499800,2499830,0,,9999282,9999331,0,1449899805,1919865984,0,0,0,0,
2499813,2499813,0,,2499838,2499813,0,,2499810,2499800,0,,2499832,2499802,0,,9999293,9999228,0,1449892410,1919851776,0,0,0,0,
2499839,2499839,0,,2499834,2499852,0,,2499822,2499840,0,,2499819,2499840,0,,9999314,9999371,0,1449900530,1919879232,0,0,0,0,
2499826,2499826,0,,2499831,2499813,0,,2499802,2499800,0,,2499821,2499800,0,,9999280,9999239,0,1449897920,1919853888,0,0,0,0,
2499818,2499818,0,,2499815,2499829,0,,2499816,2499807,0,,2499802,2499827,0,,9999251,9999281,0,1449890090,1919866752,0,0,0,0,
2499847,2499847,0,,2499825,2499836,0,,2499822,2499833,0,,2499838,2499813,0,,9999332,9999329,0,1449908360,1919866368,0,0,0,0,
2499813,2499813,0,,2499838,2499813,0,,2499818,2499800,0,,2499800,2499800,0,,9999269,9999226,0,1449887770,1919853120,0,0,0,0,
2499829,2499829,0,,2499819,2499843,0,,2499806,2499824,0,,2499805,2499823,0,,9999259,9999319,0,1449897775,1919870784,0,0,0,0,
2499837,2499837,0,,2499846,2499822,0,,2499834,2499822,0,,2499835,2499827,0,,9999352,9999308,0,1449900820,1919867328,0,0,0,0,
2499844,2499844,0,,2499829,2499845,0,,2499816,2499826,0,,2499803,2499822,0,,9999292,9999337,0,1449901980,1919869248,0,0,0,0,
2499833,2499833,0,,2499840,2499845,0,,2499833,2499840,0,,2499844,2499840,0,,9999350,9999358,0,1449901110,1919876736,0,0,0,0,
2499824,2499824,0,,2499841,2499820,0,,2499791,2499794,0,,2499825,2499800,0,,9999281,9999238,0,1449899515,1919854848,0,0,0,0,
2499821,2499821,0,,2499813,2499814,0,,2499832,2499806,0,,2499800,2499800,0,,9999266,9999241,0,1449889800,1919855808,0,0,0,0,
2499852,2499852,0,,2499852,2499851,0,,2499840,2499840,0,,2499840,2499840,0,,9999384,9999383,0,1449910680,1919878848,0,0,0,0,
2499829,2499829,0,,2499829,2499845,0,,2499807,2499832,0,,2499811,2499832,0,,9999276,9999338,0,1449895020,1919872896,0,0,0,0,
2499829,2499829,0,,2499829,2499813,0,,2499825,2499800,0,,2499821,2499800,0,,9999304,9999242,0,1449899080,1919854464,0,0,0,0,
2499840,2499840,0,,2499820,2499845,0,,2499812,2499838,0,,2499824,2499840,0,,9999296,9999363,0,1449897920,1919877696,0,0,0,0,
2499825,2499825,0,,2499835,2499820,0,,2499828,2499802,0,,2499816,2499800,0,,9999304,9999247,0,1449900530,1919855424,0,0,0,0,
2499843,2499843,0,,2499842,2499852,0,,2499822,2499840,0,,2499827,2499840,0,,9999334,9999375,0,1449901980,1919880000,0,0,0,0,
2499822,2499822,0,,2499833,2499813,0,,2499818,2499800,0,,2499813,2499800,0,,9999286,9999235,0,1449896470,1919853120,0,0,0,0,
2499813,2499813,0,,2499813,2499813,0,,2499800,2499800,0,,2499800,2499801,0,,9999226,9999227,0,1449887770,1919856768,0,0,0,0,
2499852,2499852,0,,2499852,2499852,0,,2499839,2499840,0,,2499840,2499839,0,,9999383,9999383,0,1449910680,1919876352,0,0,0,0,
2499813,2499813,0,,2499803,2499813,0,,2499785,2499800,0,,2499800,2499800,0,,9999201,9999226,0,1449886320,1919851392,0,0,0,0,
2499814,2499814,0,,2499823,2499824,0,,2499816,2499810,0,,2499800,2499809,0,,9999253,9999257,0,1449889365,1919857344,0,0,0,0,
2499851,2499851,0,,2499827,2499841,0,,2499840,2499830,0,,2499840,2499831,0,,9999358,9999353,0,1449910535,1919875776,0,0,0,0,
2499813,2499813,0,,2499838,2499813,0,,2499800,2499800,0,,2499800,2499800,0,,9999251,9999226,0,1449887770,1919852160,0,0,0,0,
2499828,2499828,0,,2499819,2499839,0,,2499814,2499814,0,,2499813,2499832,0,,9999274,9999313,0,1449894730,1919870784,0,0,0,0,
2499837,2499837,0,,2499846,2499826,0,,2499826,2499826,0,,2499827,2499808,0,,9999336,9999297,0,1449903720,1919861568,0,0,0,0,
2499845,2499845,0,,2499829,2499845,0,,2499806,2499832,0,,2499813,2499832,0,,9999293,9999354,0,1449903575,1919875968,0,0,0,0,
2499826,2499826,0,,2499836,2499829,0,,2499835,2499821,0,,2499828,2499821,0,,9999325,9999297,0,1449897340,1919867904,0,0,0,0,
2499832,2499832,0,,2499821,2499836,0,,2499815,2499819,0,,2499806,2499819,0,,9999274,9999306,0,1449893425,1919863872,0,0,0,0,
2499820,2499820,0,,2499837,2499813,0,,2499816,2499800,0,,2499825,2499800,0,,9999298,9999233,0,1449898210,1919852736,0,0,0,0,
2499836,2499836,0,,2499820,2499843,0,,2499821,2499840,0,,2499827,2499840,0,,9999304,9999359,0,1449902415,1919876928,0,0,0,0,
2499829,2499829,0,,2499845,2499822,0,,2499819,2499800,0,,2499813,2499800,0,,9999306,9999251,0,1449896035,1919856192,0,0,0,0,
2499827,2499827,0,,2499814,2499830,0,,2499818,2499818,0,,2499803,2499824,0,,9999262,9999299,0,1449895310,1919870976,0,0,0,0,
2499838,2499838,0,,2499851,2499835,0,,2499822,2499822,0,,2499837,2499816,0,,9999348,9999311,0,1449903140,1919862144,0,0,0,0,
2499825,2499825,0,,2499817,2499845,0,,2499809,2499832,0,,2499808,2499832,0,,9999259,9999334,0,1449892555,1919872128,0,0,0,0,
2499833,2499833,0,,2499841,2499813,0,,2499823,2499800,0,,2499824,2499800,0,,9999321,9999246,0,1449901545,1919855232,0,0,0,0,
2499852,2499852,0,,2499835,2499852,0,,2499828,2499840,0,,2499815,2499840,0,,9999330,9999384,0,1449910680,1919881728,0,0,0,0,
2499813,2499813,0,,2499830,2499813,0,,2499812,2499800,0,,2499825,2499800,0,,9999280,9999226,0,1449887770,1919851584,0,0,0,0,
2499833,2499833,0,,2499820,2499844,0,,2499808,2499832,0,,2499811,2499827,0,,9999272,9999336,0,1449894440,1919872320,0,0,0,0,
2499832,2499832,0,,2499813,2499821,0,,2499810,2499808,0,,2499829,2499813,0,,9999284,9999274,0,1449899370,1919860608,0,0,0,0,
2499813,2499813,0,,2499845,2499813,0,,2499822,2499800,0,,2499800,2499800,0,,9999280,9999226,0,1449892410,1919851392,0,0,0,0,
2499850,2499850,0,,2499832,2499852,0,,2499830,2499840,0,,2499819,2499840,0,,9999331,9999382,0,1449904445,1919881344,0,0,0,0,
2213141,2213141,0,,2213159,2213139,0,,2213138,2213128,0,,2213149,2213128,0,,8852587,8852536,0,1283623665,1699686912,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
2880808,2880808,0,,2683934,2683966,0,,2784425,2784454,0,,2771748,2771778,0,,11120915,11121006,0,1612532675,2135233536,1199243,0,0,0,
3517359,3517359,0,,3283717,3283714,0,,3405623,3405626,0,,3388076,3388075,0,,13594775,13594774,0,1971242375,2610196224,1468062,0,0,0,
3518256,3518256,0,,3278858,3278861,0,,3406791,3406791,0,,3390510,3390512,0,,13594415,13594420,0,1971190175,2610128640,1468465,0,0,0,
3520708,3520708,0,,3282677,3282645,0,,3407243,3407242,0,,3390102,3390103,0,,13600730,13600698,0,1972110490,2611340160,1462186,0,0,0,
3516328,3516328,0,,3282081,3282113,0,,3406463,3406464,0,,3389452,3389452,0,,13594324,13594357,0,1971172340,2610110400,1468652,0,0,0,
3515503,3515503,0,,3279275,3279275,0,,3402395,3402363,0,,3387412,3387412,0,,13584585,13584553,0,1969764825,2608240704,1478449,0,0,0,
3515355,3515355,0,,3279942,3279942,0,,3406811,3406843,0,,3391402,3391402,0,,13593510,13593542,0,1971058950,2609954496,1469321,0,0,0,
3519846,3519846,0,,3280160,3280159,0,,3406464,3406464,0,,3392205,3392202,0,,13598675,13598671,0,1971807875,2610943872,1464182,0,0,0,
3517169,3517169,0,,3275122,3275121,0,,3406489,3406489,0,,3392151,3392154,0,,13590931,13590933,0,1970684995,2609459136,1472046,0,0,0,
3521149,3521149,0,,3280152,3280152,0,,3405593,3405593,0,,3391994,3391994,0,,13598888,13598888,0,1971838760,2610986880,1464150,0,0,0,
3517343,3517343,0,,3279914,3279915,0,,3404705,3404705,0,,3390712,3390709,0,,13592674,13592672,0,1970942370,2609793216,1470126,0,0,0,
3522403,3522403,0,,3277018,3277016,0,,3404826,3404825,0,,3391739,3391740,0,,13595986,13595984,0,1971413330,2610428352,1467090,0,0,0,
3514557,3514557,0,,3278265,3278267,0,,3405924,3405925,0,,3391843,3391845,0,,13590589,13590594,0,1970639900,2609394048,1472378,0,0,0,
3520935,3520935,0,,3282902,3282903,0,,3405990,3405990,0,,3393816,3393816,0,,13603643,13603644,0,1972523740,2611899648,1459235,0,0,0,
3501408,3501408,0,,3282543,3282511,0,,3407013,3407012,0,,3393111,3393111,0,,13584075,13584042,0,1969690875,2608142208,1478844,0,0,0,
3497890,3497890,0,,3280461,3280493,0,,3403339,3403340,0,,3389308,3389308,0,,13570998,13571031,0,1967794710,2605632000,1491878,0,0,0,
3503634,3503634,0,,3284834,3284833,0,,3406217,3406214,0,,3393177,3393177,0,,13587862,13587858,0,1970244485,2608868544,1475065,0,0,0,
3500995,3500995,0,,3283347,3283347,0,,3406466,3406466,0,,3392232,3392231,0,,13583040,13583039,0,1969536305,2607943488,1479783,0,0,0,
3513302,3513302,0,,3285742,3285741,0,,3407890,3407892,0,,3392850,3392851,0,,13599784,13599786,0,1971968680,2611158912,1463322,0,0,0,
3516144,3516144,0,,3283366,3283366,0,,3404658,3404659,0,,3390280,3390280,0,,13594448,13594449,0,1971194960,2610134208,1468373,0,0,0,
3518690,3518690,0,,3286367,3286369,0,,3404057,3404057,0,,3390116,3390084,0,,13599230,13599200,0,1971888350,2611052928,1463767,0,0,0,
3517524,3517524,0,,3285736,3285736,0,,3405679,3405678,0,,3391678,3391710,0,,13600617,13600648,0,1972094105,2611324032,1462236,0,0,0,
3515233,3515233,0,,3286944,3286942,0,,3407724,3407725,0,,3391972,3391969,0,,13601873,13601869,0,1972266945,2611552704,1461028,0,0,0,
3508873,3508873,0,,3288169,3288170,0,,3404362,3404330,0,,3391922,3391924,0,,13593326,13593297,0,1971032270,2609919168,1469676,0,0,0,
3517751,3517751,0,,3287870,3287871,0,,3403463,3403495,0,,3392192,3392193,0,,13601276,13601310,0,1972194300,2611446528,1461484,0,0,0,
3518224,3518224,0,,3280331,3280331,0,,3401426,3401425,0,,3387669,3387667,0,,13587650,13587647,0,1970199970,2608827072,1475331,0,0,0,
3511387,3511387,0,,3284886,3284885,0,,3405323,3405292,0,,3390749,3390751,0,,13592345,13592315,0,1970890025,2609730624,1470706,0,0,0,
3524144,3524144,0,,3287533,3287531,0,,3405540,3405572,0,,3391460,3391460,0,,13608677,13608707,0,1973258165,2612865600,1454154,0,0,0,
3521952,3521952,0,,3289164,3289166,0,,3407515,3407515,0,,3392274,3392273,0,,13610905,13610906,0,1973581225,2613293952,1451940,0,0,0,
3520611,3520611,0,,3287311,3287309,0,,3403965,3403964,0,,3391983,3391984,0,,13603870,13603868,0,1972561150,2611942656,1459117,0,0,0,
3516695,3516695,0,,3282851,3282822,0,,3403986,3403987,0,,3390168,3390136,0,,13593700,13593640,0,1971086500,2609990592,1469247,0,0,0,
3515158,3515158,0,,3284541,3284572,0,,3407278,3407278,0,,3391752,3391784,0,,13598729,13598792,0,1971815705,2610956352,1464214,0,0,0,
3520157,3520157,0,,3288120,3288121,0,,3407168,3407168,0,,3392193,3392192,0,,13607638,13607638,0,1973107510,2612666496,1455279,0,0,0,
3523822,3523822,0,,3288058,3288058,0,,3405638,3405638,0,,3390632,3390633,0,,13608150,13608151,0,1973181750,2612764992,1454837,0,0,0,
3519423,3519423,0,,3285494,3285462,0,,3404557,3404557,0,,3394012,3394012,0,,13603486,13603454,0,1972505470,2611869312,1459406,0,0,0,
3519494,3519494,0,,3282086,3282116,0,,3395212,3395212,0,,3390559,3390558,0,,13587351,13587380,0,1970165895,2608770816,1475586,0,0,0,
3523157,3523157,0,,3284901,3284902,0,,3400712,3400712,0,,3391380,3391381,0,,13600150,13600152,0,1972021750,2611229184,1462907,0,0,0,
3519512,3519512,0,,3284881,3284882,0,,3406220,3406220,0,,3390940,3390940,0,,13601553,13601554,0,1972225185,2611498368,1461356,0,0,0,
3529849,3529849,0,,3284693,3284691,0,,3407177,3407174,0,,3391227,3391227,0,,13612946,13612941,0,1973877170,2613684672,1449919,0,0,0,
3524270,3524270,0,,3285332,3285334,0,,3407225,3407196,0,,3393327,3393324,0,,13610154,13610124,0,1973472330,2613149952,1452915,0,0,0,
3524837,3524837,0,,3283307,3283307,0,,3403707,3403739,0,,3390467,3390470,0,,13602318,13602353,0,1972336110,2611645824,1460530,0,0,0,
3526301,3526301,0,,3281214,3281214,0,,3401879,3401879,0,,3391540,3391508,0,,13600934,13600902,0,1972135430,2611379136,1462036,0,0,0,
