Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
10715024,10715024,0,,10822159,10822160,0,,10943981,10943981,0,,32481164,32481165,0,7145849260,8315176704,2297723,0,0,0,
10714388,10714388,0,,10825248,10825248,0,,10944819,10944787,0,,32484455,32484423,0,7146580100,8316019456,2294429,0,0,0,
10715424,10715424,0,,10825489,10825489,0,,10947385,10947417,0,,32488298,32488330,0,7147418520,8317000960,2290519,0,0,0,
10714924,10714924,0,,10823478,10823446,0,,10944787,10944787,0,,32483189,32483157,0,7146301580,8315687424,2295850,0,0,0,
10715272,10715272,0,,10821865,10821897,0,,10942703,10942703,0,,32479840,32479872,0,7145571840,8314845440,2298960,0,0,0,
10716693,10716693,0,,10823783,10823783,0,,10947335,10947335,0,,32487811,32487811,0,7147311380,8316878336,2291032,0,0,0,
10716804,10716804,0,,10823372,10823372,0,,10945101,10945101,0,,32485277,32485277,0,7146775020,8316235520,2293488,0,0,0,
10719031,10719031,0,,10823322,10823322,0,,10943491,10943491,0,,32485844,32485844,0,7146878640,8316374784,2293042,0,0,0,
10717427,10717427,0,,10822714,10822711,0,,10942762,10942762,0,,32482903,32482900,0,7146238000,8315626496,2295899,0,0,0,
9241621,9241621,0,,9334459,9334430,0,,9439287,9439255,0,,28015367,28015306,0,6163374360,7171905024,1974248,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
9951527,9951527,0,,10047829,10047861,0,,10126407,10126407,0,,30125763,30125795,0,6627674900,7712217600,254494,0,0,0,
10756438,10756438,0,,10866727,10866727,0,,10958392,10958424,0,,32581557,32581589,0,7167949580,8340896000,293040,0,0,0,
10750412,10750412,0,,10864562,10864562,0,,10956737,10956737,0,,32571711,32571711,0,7165769380,8338339840,299921,0,0,0,
10755848,10755848,0,,10867127,10867127,0,,10958651,10958651,0,,32581626,32581626,0,7167957720,8340903424,293498,0,0,0,
10752189,10752189,0,,10864395,10864395,0,,10956591,10956591,0,,32573175,32573175,0,7166098500,8338723328,298133,0,0,0,
10752911,10752911,0,,10863947,10863947,0,,10957657,10957657,0,,32574515,32574515,0,7166393300,8339081472,299384,0,0,0,
10752043,10752043,0,,10864662,10864662,0,,10955935,10955935,0,,32572640,32572640,0,7165980800,8338601216,299098,0,0,0,
10753938,10753938,0,,10863994,10863994,0,,10958188,10958156,0,,32576120,32576088,0,7166746400,8339491328,298086,0,0,0,
10753535,10753535,0,,10863934,10863902,0,,10956012,10956044,0,,32573481,32573481,0,7166158780,8338796544,298696,0,0,0,
10755351,10755351,0,,10865140,10865172,0,,10958072,10958070,0,,32578563,32578593,0,7167290900,8340116992,295150,0,0,0,
10755681,10755681,0,,10865637,10865637,0,,10957389,10957391,0,,32578707,32578709,0,7167308500,8340148992,294629,0,0,0,
10751587,10751587,0,,10862933,10862933,0,,10956191,10956191,0,,32570711,32570711,0,7165563460,8338103808,302279,0,0,0,
10755669,10755669,0,,10864012,10864012,0,,10956687,10956687,0,,32576368,32576368,0,7166808000,8339553280,296756,0,0,0,
10753174,10753174,0,,10866042,10866042,0,,10957166,10957166,0,,32576382,32576382,0,7166797000,8339553024,296450,0,0,0,
10753991,10753991,0,,10864489,10864457,0,,10957275,10957275,0,,32575755,32575723,0,7166666100,8339398144,298532,0,0,0,
