Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
4239554,4239554,0,,4238759,4238768,0,,4239564,4239595,0,,4239564,4239593,0,,16957441,16957510,0,2611447300,3255847488,0,0,0,0,
9330566,9330566,0,,9328783,9328774,0,,9330576,9330545,0,,9330574,9330563,0,,37320499,37320448,0,5747358232,7165535808,0,0,0,0,
9330344,9330344,0,,9328544,9328544,0,,9330317,9330348,0,,9330329,9330334,0,,37319534,37319570,0,5747205464,7165346112,0,0,0,0,
9330214,9330214,0,,9328419,9328447,0,,9330228,9330227,0,,9330204,9330207,0,,37319065,37319095,0,5747144326,7165273536,0,0,0,0,
9330472,9330472,0,,9328709,9328681,0,,9330458,9330457,0,,9330479,9330482,0,,37320118,37320092,0,5747294322,7165452672,0,0,0,0,
9330502,9330502,0,,9328701,9328718,0,,9330509,9330504,0,,9330502,9330497,0,,37320214,37320221,0,5747319886,7165477824,0,0,0,0,
9329712,9329712,0,,9327932,9327931,0,,9329714,9329701,0,,9329712,9329707,0,,37317070,37317051,0,5746824468,7164876672,0,0,0,0,
9330556,9330556,0,,9328769,9328765,0,,9330565,9330568,0,,9330572,9330553,0,,37320462,37320442,0,5747349454,7165526976,0,0,0,0,
9330259,9330259,0,,9328474,9328481,0,,9330248,9330251,0,,9330243,9330262,0,,37319224,37319253,0,5747165578,7165298880,0,0,0,0,
9329910,9329910,0,,9328131,9328140,0,,9329930,9329943,0,,9329925,9329935,0,,37317896,37317928,0,5746949824,7165038720,0,0,0,0,
9329935,9329935,0,,9328149,9328121,0,,9329925,9329895,0,,9329926,9329913,0,,37317935,37317864,0,5746960142,7165037184,0,0,0,0,
9330218,9330218,0,,9328438,9328467,0,,9330238,9330238,0,,9330211,9330225,0,,37319105,37319148,0,5747150948,7165272192,0,0,0,0,
9330202,9330202,0,,9328421,9328409,0,,9330195,9330201,0,,9330215,9330202,0,,37319033,37319014,0,5747126000,7165251840,0,0,0,0,
9329986,9329986,0,,9328213,9328196,0,,9329965,9329987,0,,9329985,9329997,0,,37318149,37318166,0,5746997564,7165087872,0,0,0,0,
9330309,9330309,0,,9328500,9328529,0,,9330319,9330291,0,,9330297,9330295,0,,37319425,37319424,0,5747182672,7165322880,0,0,0,0,
9330270,9330270,0,,9328485,9328482,0,,9330272,9330289,0,,9330270,9330268,0,,37319297,37319309,0,5747183904,7165312128,0,0,0,0,
9330462,9330462,0,,9328694,9328686,0,,9330463,9330450,0,,9330478,9330460,0,,37320097,37320058,0,5747285544,7165454208,0,0,0,0,
9330073,9330073,0,,9328274,9328261,0,,9330064,9330086,0,,9330060,9330083,0,,37318471,37318503,0,5747045766,7165146624,0,0,0,0,
