Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
10670469,10670469,0,,10670514,10670516,0,,10670461,10670461,0,,10670479,10670477,0,,42681923,42681923,0,8920522325,10926575360,0,0,0,0,
10681164,10681164,0,,10681199,10681206,0,,10681136,10681146,0,,10681224,10681226,0,,42724723,42724742,0,8929464390,10937530624,0,0,0,0,
10683476,10683476,0,,10683410,10683412,0,,10683394,10683394,0,,10683157,10683157,0,,42733437,42733439,0,8931295021,10939771904,0,0,0,0,
10681646,10681646,0,,10681644,10681644,0,,10681673,10681673,0,,10681849,10681849,0,,42726812,42726812,0,8929897020,10938059008,0,0,0,0,
10669586,10669586,0,,10669571,10669539,0,,10669384,10669384,0,,10669350,10669350,0,,42677891,42677859,0,8919685907,10925540608,0,0,0,0,
10678316,10678316,0,,10678307,10678329,0,,10678286,10678254,0,,10678289,10678289,0,,42713198,42713188,0,8927056292,10934582016,0,0,0,0,
10683215,10683215,0,,10683220,10683224,0,,10683138,10683170,0,,10683374,10683374,0,,42732947,42732983,0,8931186759,10939625216,0,0,0,0,
9123611,9123611,0,,9123605,9123579,0,,9123575,9123543,0,,9123675,9123643,0,,36494466,36494376,0,7627331272,9342545920,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
9693096,9693096,0,,9693118,9693118,0,,9693070,9693092,0,,9692838,9692870,0,,38772122,38772176,0,8103384784,9925689344,0,0,0,0,
10697710,10697710,0,,10697726,10697758,0,,10697753,10697761,0,,10697706,10697706,0,,42790895,42790935,0,8943292039,10954475776,0,0,0,0,
10695020,10695020,0,,10695030,10695030,0,,10694891,10694884,0,,10694843,10694843,0,,42779784,42779777,0,8940980081,10951629568,0,0,0,0,
10692864,10692864,0,,10692838,10692806,0,,10692776,10692785,0,,10692670,10692670,0,,42771148,42771125,0,8939158437,10949411328,0,0,0,0,
10697326,10697326,0,,10697311,10697343,0,,10697270,10697270,0,,10697419,10697419,0,,42789326,42789358,0,8942982510,10954064128,0,0,0,0,
10693541,10693541,0,,10693528,10693528,0,,10693511,10693479,0,,10693342,10693342,0,,42773922,42773890,0,8939749698,10950129152,0,0,0,0,
10698015,10698015,0,,10698049,10698049,0,,10697963,10697995,0,,10697759,10697758,0,,42791786,42791817,0,8943483065,10954693120,0,0,0,0,
10664468,10664468,0,,10664440,10664440,0,,10664387,10664355,0,,10664867,10664868,0,,42658162,42658131,0,8915542691,10920490240,0,0,0,0,
10664031,10664031,0,,10664126,10664094,0,,10664095,10664118,0,,10663954,10663954,0,,42656206,42656197,0,8915147054,10919984640,0,0,0,0,
10675753,10675753,0,,10675702,10675702,0,,10675672,10675680,0,,10675762,10675762,0,,42702889,42702897,0,8924910280,10931942400,0,0,0,0,
10679330,10679330,0,,10679297,10679321,0,,10679176,10679177,0,,10679415,10679415,0,,42717218,42717243,0,8927903787,10935603456,0,0,0,0,
10681093,10681093,0,,10681092,10681090,0,,10681051,10681041,0,,10681023,10681023,0,,42724259,42724247,0,8929374311,10937417216,0,0,0,0,
10668808,10668808,0,,10668797,10668807,0,,10668755,10668755,0,,10668428,10668425,0,,42674788,42674795,0,8919032155,10924760576,0,0,0,0,
10674216,10674216,0,,10674221,10674221,0,,10674155,10674154,0,,10674320,10674323,0,,42696912,42696914,0,8923641650,10930396928,0,0,0,0,
10681109,10681109,0,,10681105,10681097,0,,10681064,10681065,0,,10680794,10680762,0,,42724072,42724033,0,8929336273,10937359360,0,0,0,0,
10678101,10678101,0,,10678100,10678108,0,,10678046,10678056,0,,10677843,10677843,0,,42712090,42712108,0,8926823884,10934293248,0,0,0,0,
10668149,10668149,0,,10668163,10668131,0,,10668093,10668086,0,,10667669,10667701,0,,42672074,42672067,0,8918463466,10924045568,0,0,0,0,
1416665,1416665,0,,1416652,1416652,0,,1416648,1416623,0,,1417724,1417692,0,,5667689,5667632,0,1184540313,1450901504,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
6883977,6883977,0,,6883977,6883999,0,,6883943,6883964,0,,6883401,6883433,0,,27535298,27535373,0,5754892957,7049076480,0,0,0,0,
10698471,10698471,0,,10698471,10698471,0,,10698417,10698418,0,,10698070,10698070,0,,42793429,42793430,0,8943826870,10955110400,0,0,0,0,
10703277,10703277,0,,10703281,10703291,0,,10703225,10703227,0,,10702943,10702943,0,,42812726,42812738,0,8947862242,10960068864,0,0,0,0,
10694490,10694490,0,,10694497,10694465,0,,10694421,10694428,0,,10695134,10695134,0,,42778542,42778517,0,8940710053,10951290368,0,0,0,0,
10702565,10702565,0,,10702603,10702635,0,,10702690,10702680,0,,10702752,10702720,0,,42810610,42810600,0,8947415400,10959533568,0,0,0,0,
10704019,10704019,0,,10704040,10704040,0,,10703892,10703871,0,,10703676,10703708,0,,42815627,42815638,0,8948468342,10960793344,0,0,0,0,
10706340,10706340,0,,10706268,10706268,0,,10706194,10706194,0,,10704547,10704515,0,,42823349,42823317,0,8950073253,10962769152,0,0,0,0,
10702565,10702565,0,,10702576,10702576,0,,10702505,10702537,0,,10704348,10704380,0,,42811994,42812058,0,8947713434,10959880192,0,0,0,0,
10670573,10670573,0,,10670553,10670553,0,,10670533,10670533,0,,10669075,10669075,0,,42680734,42680734,0,8920273406,10926275328,0,0,0,0,
10681905,10681905,0,,10681912,10681912,0,,10681838,10681838,0,,10682578,10682578,0,,42728233,42728233,0,8930207385,10938439168,0,0,0,0,
10686032,10686032,0,,10686100,10686100,0,,10686058,10686058,0,,10686004,10686004,0,,42744194,42744194,0,8933529858,10942486272,0,0,0,0,
10681905,10681905,0,,10681869,10681869,0,,10681826,10681826,0,,10682403,10682403,0,,42728003,42728003,0,8930152627,10938377216,0,0,0,0,
10678174,10678174,0,,10678129,10678129,0,,10678073,10678068,0,,10677665,10677665,0,,42712041,42712036,0,8926822212,10934293248,0,0,0,0,
10686184,10686184,0,,10686217,10686217,0,,10686139,10686135,0,,10686639,10686639,0,,42745179,42745175,0,8933734887,10942753280,0,0,0,0,
10688595,10688595,0,,10688578,10688578,0,,10688558,10688535,0,,10688442,10688442,0,,42754173,42754150,0,8935617350,10945067520,0,0,0,0,
