Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
4998820,4998820,0,,4999648,4999628,0,,9998468,9998448,0,1669744156,1919702016,835,0,0,0,
4998770,4998770,0,,4999627,4999655,0,,9998397,9998425,0,1669732299,1919697600,850,0,0,0,
4998817,4998817,0,,4999663,4999635,0,,9998480,9998452,0,1669746160,1919702784,853,0,0,0,
4998789,4998789,0,,4999628,4999628,0,,9998417,9998417,0,1669735639,1919696448,839,0,0,0,
4998790,4998790,0,,4999633,4999664,0,,9998423,9998454,0,1669736641,1919702784,846,0,0,0,
4998769,4998769,0,,4999672,4999641,0,,9998441,9998410,0,1669739647,1919694720,900,0,0,0,
4998773,4998773,0,,4999613,4999613,0,,9998386,9998386,0,1669730462,1919692224,840,0,0,0,
4998747,4998747,0,,4999643,4999674,0,,9998390,9998421,0,1669731130,1919694720,898,0,0,0,
4998789,4998789,0,,4999656,4999625,0,,9998445,9998414,0,1669740315,1919696640,871,0,0,0,
4998854,4998854,0,,4999648,4999678,0,,9998502,9998532,0,1669749834,1919716992,785,0,0,0,
4998809,4998809,0,,4999648,4999618,0,,9998457,9998427,0,1669742319,1919697984,842,0,0,0,
4998701,4998701,0,,4999564,4999564,0,,9998265,9998265,0,1669710255,1919666880,863,0,0,0,
4998830,4998830,0,,4999628,4999660,0,,9998458,9998490,0,1669742486,1919710080,811,0,0,0,
4998813,4998813,0,,4999624,4999622,0,,9998437,9998435,0,1669738979,1919699520,836,0,0,0,
4998885,4998885,0,,4999680,4999682,0,,9998565,9998567,0,1669765699,1919724864,773,0,0,0,
4998807,4998807,0,,4999655,4999631,0,,9998462,9998438,0,1669739146,1919700096,840,0,0,0,
4998799,4998799,0,,4999649,4999641,0,,9998448,9998440,0,1669739480,1919707008,836,0,0,0,
4998800,4998800,0,,4999620,4999651,0,,9998420,9998451,0,1669736140,1919696064,836,0,0,0,
4998772,4998772,0,,4999657,4999626,0,,9998429,9998398,0,1669737643,1919692416,872,0,0,0,
4998827,4998827,0,,4999692,4999692,0,,9998519,9998519,0,1669752673,1919715648,868,0,0,0,
4998787,4998787,0,,4999613,4999613,0,,9998400,9998400,0,1669732800,1919692800,826,0,0,0,
4998806,4998806,0,,4999646,4999676,0,,9998452,9998482,0,1669741484,1919708544,836,0,0,0,
4998763,4998763,0,,4999654,4999629,0,,9998417,9998392,0,1669736474,1919691264,900,0,0,0,
4998795,4998795,0,,4999618,4999613,0,,9998413,9998408,0,1669734136,1919694336,818,0,0,0,
4998888,4998888,0,,4999628,4999656,0,,9998516,9998544,0,1669752172,1919720832,772,0,0,0,
4998805,4998805,0,,4999649,4999649,0,,9998454,9998454,0,1669741818,1919702784,840,0,0,0,
4998905,4998905,0,,4999641,4999613,0,,9998546,9998518,0,1669757182,1919715456,708,0,0,0,
4998833,4998833,0,,4999659,4999689,0,,9998492,9998522,0,1669748164,1919716224,836,0,0,0,
4998992,4998992,0,,4999646,4999616,0,,9998638,9998608,0,1669772546,1919732736,644,0,0,0,
4998802,4998802,0,,4999643,4999643,0,,9998445,9998445,0,1669740315,1919707200,827,0,0,0,
4998984,4998984,0,,4999662,4999662,0,,9998646,9998646,0,1669773882,1919734272,692,0,0,0,
