Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
13820563,13820563,0,,5161244,5161223,0,,18981807,18981786,0,3644502912,3644502528,931500,0,0,0,
13822405,13822405,0,,5160969,5160975,0,,18983374,18983380,0,3644808854,3644803286,930039,0,0,0,
13822033,13822033,0,,5161751,5161737,0,,18983784,18983770,0,3644883840,3644884800,929356,0,0,0,
13823009,13823009,0,,5160793,5160793,0,,18983802,18983802,0,3644889878,3644889110,929909,0,0,0,
13823376,13823376,0,,5161236,5161249,0,,18984612,18984625,0,3645048000,3645055296,928721,0,0,0,
13824228,13824228,0,,5160882,5160901,0,,18985110,18985129,0,3645138518,3645137750,927917,0,0,0,
13827042,13827042,0,,5161585,5161585,0,,18988627,18988627,0,3645822528,3645821376,924382,0,0,0,
13822868,13822868,0,,5160845,5160813,0,,18983713,18983681,0,3644866646,3644861078,928786,0,0,0,
13824980,13824980,0,,5161032,5161064,0,,18986012,18986044,0,3645314304,3645332544,927002,0,0,0,
13823898,13823898,0,,5161021,5160989,0,,18984919,18984887,0,3645104448,3645095232,928488,0,0,0,
13827200,13827200,0,,5160666,5160672,0,,18987866,18987872,0,3645671424,3645665856,924716,0,0,0,
13825556,13825556,0,,5161827,5161823,0,,18987383,18987379,0,3645576662,3645573206,926249,0,0,0,
13819168,13819168,0,,5160795,5160825,0,,18979963,18979993,0,3644152512,3644166912,933116,0,0,0,
13826849,13826849,0,,5161251,5161220,0,,18988100,18988069,0,3645715094,3645711062,925579,0,0,0,
11674049,11674049,0,,4356976,4356975,0,,16031025,16031024,0,3077956800,3077946432,785940,0,0,0,
0,0,0,,1,1,0,,1,1,0,86,86,0,0,0,0,
6075389,6075389,0,,2253150,2253161,0,,8328539,8328550,0,1599079488,1599081600,355845,0,0,0,
13826888,13826888,0,,5118360,5118381,0,,18945248,18945269,0,3637493654,3637498838,803498,0,0,0,
13822422,13822422,0,,5118668,5118648,0,,18941090,18941070,0,3636685440,3636680448,808065,0,0,0,
13833858,13833858,0,,5118745,5118733,0,,18952603,18952591,0,3638897366,3638895254,796951,0,0,0,
13829733,13829733,0,,5119026,5119026,0,,18948759,18948759,0,3638161728,3638172096,800441,0,0,0,
13826853,13826853,0,,5118291,5118291,0,,18945144,18945144,0,3637467648,3637458432,803722,0,0,0,
13832753,13832753,0,,5118115,5118120,0,,18950868,18950873,0,3638567616,3638566272,797978,0,0,0,
13832719,13832719,0,,5118909,5118904,0,,18951628,18951623,0,3638711510,3638711702,797390,0,0,0,
13828127,13828127,0,,5118672,5118674,0,,18946799,18946801,0,3637785792,3637785600,802492,0,0,0,
13827721,13827721,0,,5118340,5118338,0,,18946061,18946059,0,3637643222,3637653206,801458,0,0,0,
13825707,13825707,0,,5118171,5118171,0,,18943878,18943878,0,3637224576,3637214592,804727,0,0,0,
13827708,13827708,0,,5118650,5118652,0,,18946358,18946360,0,3637701014,3637707926,803073,0,0,0,
13823972,13823972,0,,5118574,5118601,0,,18942546,18942573,0,3636974016,3636973824,804519,0,0,0,
13826132,13826132,0,,5118163,5118134,0,,18944295,18944266,0,3637298966,3637308182,804212,0,0,0,
13831924,13831924,0,,5118331,5118331,0,,18950255,18950255,0,3638448960,3638433792,799181,0,0,0,
13830783,13830783,0,,5119004,5119004,0,,18949787,18949787,0,3638358998,3638360534,798900,0,0,0,
13828122,13828122,0,,5118264,5118286,0,,18946386,18946408,0,3637710336,3637712448,802540,0,0,0,
13826230,13826230,0,,5118314,5118319,0,,18944544,18944549,0,3637348224,3637355328,803659,0,0,0,
13828109,13828109,0,,5118751,5118724,0,,18946860,18946833,0,3637797120,3637791744,802878,0,0,0,
13822392,13822392,0,,5118611,5118611,0,,18941003,18941003,0,3636672576,3636667776,807802,0,0,0,
13832409,13832409,0,,5118910,5118942,0,,18951319,18951351,0,3638659392,3638670336,797533,0,0,0,
13828091,13828091,0,,5117932,5117932,0,,18946023,18946023,0,3637636416,3637624704,801526,0,0,0,
13827196,13827196,0,,5118108,5118076,0,,18945304,18945272,0,3637492224,3637491648,802694,0,0,0,
13830228,13830228,0,,5118958,5118958,0,,18949186,18949186,0,3638243712,3638246784,799503,0,0,0,
3078371,3078371,0,,1135722,1135722,0,,4214093,4214093,0,809105856,809102784,176892,0,0,0,
915305,915305,0,,340097,340111,0,,1255402,1255416,0,241037184,241039872,48041,0,0,0,
13828453,13828453,0,,5118278,5118296,0,,18946731,18946749,0,3637772352,3637776768,801227,0,0,0,
13831971,13831971,0,,5118665,5118640,0,,18950636,18950611,0,3638523456,3638516352,798876,0,0,0,
13831226,13831226,0,,5118627,5118628,0,,18949853,18949854,0,3638371968,3638374656,799321,0,0,0,
13826358,13826358,0,,5118998,5118990,0,,18945356,18945348,0,3637506816,3637504896,803495,0,0,0,
