Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
11242730,11242730,0,,11431250,11431280,0,,11341184,11341184,0,,34015164,34015194,0,5510451384,6530906112,3303775,0,0,0,
11236328,11236328,0,,11432325,11432295,0,,11341006,11341006,0,,34009659,34009629,0,5509569942,6529860672,3309210,0,0,0,
11240570,11240570,0,,11434050,11434082,0,,11342617,11342614,0,,34017237,34017266,0,5510791908,6531310656,3301732,0,0,0,
11234930,11234930,0,,11431670,11431669,0,,11333794,11333796,0,,34000394,34000395,0,5508069174,6528074304,3319538,0,0,0,
11237460,11237460,0,,11435649,11435648,0,,11333188,11333187,0,,34006297,34006295,0,5509019790,6529209792,3312143,0,0,0,
11230334,11230334,0,,11432828,11432827,0,,11335784,11335784,0,,33998946,33998945,0,5507829090,6527796288,3320271,0,0,0,
11228047,11228047,0,,11435038,11435038,0,,11342732,11342734,0,,34005817,34005819,0,5508932796,6529111296,3312505,0,0,0,
11237126,11237126,0,,11431808,11431810,0,,11335008,11335008,0,,34003942,34003944,0,5508643788,6528758784,3315896,0,0,0,
6135996,6135996,0,,6243766,6243735,0,,6191553,6191521,0,,18571315,18571252,0,3008547846,3565678656,1798429,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
7952603,7952603,0,,7953756,7953788,0,,7952624,7952655,0,,23858983,23859046,0,3865160430,4580942400,0,0,0,0,
11214150,11214150,0,,11215752,11215752,0,,11214149,11214147,0,,33644051,33644049,0,5450336262,6459653568,0,0,0,0,
11213647,11213647,0,,11215338,11215337,0,,11213720,11213691,0,,33642705,33642675,0,5450113026,6459398208,0,0,0,0,
11214186,11214186,0,,11215714,11215715,0,,11214123,11214155,0,,33644023,33644056,0,5450336910,6459655296,0,0,0,0,
11213732,11213732,0,,11215340,11215340,0,,11213705,11213702,0,,33642777,33642774,0,5450134572,6459422592,0,0,0,0,
11214010,11214010,0,,11215671,11215654,0,,11214033,11214036,0,,33643714,33643700,0,5450279400,6459590400,0,0,0,0,
11214006,11214006,0,,11215622,11215639,0,,11214030,11214030,0,,33643658,33643675,0,5450270166,6459576576,0,0,0,0,
11213859,11213859,0,,11215412,11215409,0,,11213810,11213810,0,,33643081,33643078,0,5450183820,6459474816,0,0,0,0,
11214039,11214039,0,,11215653,11215655,0,,11214040,11214040,0,,33643732,33643734,0,5450274702,6459589824,0,0,0,0,
11213930,11213930,0,,11215578,11215547,0,,11213960,11213960,0,,33643468,33643437,0,5450247000,6459553344,0,0,0,0,
