Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
8572377,8572377,0,,8779558,8779569,0,,9061026,9061026,0,,7690818,7690815,0,,8634838,8634836,0,,42738617,42738623,0,10941093888,10941099776,0,0,0,0,
8549514,8549514,0,,8756509,8756486,0,,9039061,9039052,0,,7671304,7671295,0,,8613356,8613366,0,,42629744,42629713,0,10913204992,10913202176,0,0,0,0,
8546094,8546094,0,,8755641,8755648,0,,9034879,9034863,0,,7669073,7669104,0,,8608342,8608310,0,,42614029,42614019,0,10909200384,10909202688,0,0,0,0,
8558171,8558171,0,,8763563,8763556,0,,9045389,9045389,0,,7678889,7678877,0,,8622429,8622436,0,,42668441,42668429,0,10923106048,10923106048,0,0,0,0,
8562164,8562164,0,,8768620,8768620,0,,9048698,9048723,0,,7680689,7680677,0,,8624106,8624108,0,,42684277,42684292,0,10927181824,10927179264,0,0,0,0,
8557233,8557233,0,,8762937,8762968,0,,9044420,9044401,0,,7677064,7677071,0,,8620567,8620590,0,,42662221,42662263,0,10921538048,10921535488,0,0,0,0,
8554514,8554514,0,,8760312,8760311,0,,9040642,9040646,0,,7673501,7673509,0,,8614192,8614192,0,,42643161,42643172,0,10916643840,10916655104,0,0,0,0,
8557587,8557587,0,,8764119,8764121,0,,9045477,9045492,0,,7677351,7677329,0,,8620321,8620289,0,,42664855,42664818,0,10922193238,10922194262,0,0,0,0,
8553163,8553163,0,,8760672,8760672,0,,9040456,9040443,0,,7672718,7672718,0,,8615119,8615151,0,,42642128,42642147,0,10916397824,10916395264,0,0,0,0,
8555524,8555524,0,,8763768,8763758,0,,9045082,9045083,0,,7676011,7676011,0,,8617695,8617682,0,,42658080,42658058,0,10920468310,10920453206,0,0,0,0,
6377666,6377666,0,,6530835,6530813,0,,6740301,6740281,0,,5722565,5722565,0,,6424786,6424767,0,,31796153,31796092,0,8139793920,8139786752,0,0,0,0,
1,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,0,86,86,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
229449,229449,0,,232452,232480,0,,238444,238444,0,,205492,205509,0,,229566,229575,0,,1135403,1135457,0,290678528,290687232,0,0,0,0,
8114152,8114152,0,,8311654,8311637,0,,8578573,8578599,0,,7281011,7281015,0,,8176874,8176884,0,,40462264,40462287,0,10358337280,10358342400,0,0,0,0,
8157163,8157163,0,,8356685,8356691,0,,8624467,8624466,0,,7318863,7318860,0,,8214360,8214361,0,,40671538,40671541,0,10411916032,10411915520,0,0,0,0,
8159117,8159117,0,,8353207,8353219,0,,8622075,8622074,0,,7319403,7319402,0,,8217897,8217909,0,,40671699,40671721,0,10411965696,10411963648,0,0,0,0,
8155737,8155737,0,,8356624,8356606,0,,8622974,8622950,0,,7318568,7318579,0,,8218177,8218164,0,,40672080,40672036,0,10412045056,10412046080,0,0,0,0,
8158251,8158251,0,,8353800,8353812,0,,8622802,8622827,0,,7316385,7316357,0,,8215521,8215517,0,,40666759,40666764,0,10410681856,10410687488,0,0,0,0,
8158242,8158242,0,,8354464,8354463,0,,8621512,8621487,0,,7320067,7320067,0,,8218183,8218200,0,,40672468,40672459,0,10412160000,10412158208,0,0,0,0,
8155712,8155712,0,,8356903,8356887,0,,8624713,8624722,0,,7319149,7319171,0,,8215546,8215546,0,,40672023,40672038,0,10412040704,10412047360,0,0,0,0,
8159933,8159933,0,,8353510,8353513,0,,8620264,8620284,0,,7317874,7317884,0,,8218582,8218550,0,,40670163,40670164,0,10411550208,10411557632,0,0,0,0,
8156141,8156141,0,,8353875,8353881,0,,8623247,8623219,0,,7319580,7319560,0,,8218668,8218668,0,,40671511,40671469,0,10411907328,10411883520,0,0,0,0,
8157450,8157450,0,,8355655,8355640,0,,8624461,8624483,0,,7317564,7317584,0,,8214757,8214757,0,,40669887,40669914,0,10411500032,10411506944,0,0,0,0,
8159197,8159197,0,,8354421,8354425,0,,8620907,8620903,0,,7319784,7319768,0,,8217714,8217746,0,,40672023,40672039,0,10412039424,10412040960,0,0,0,0,
