Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
2795124,2795124,0,,2899300,2899300,0,,3027271,3027271,0,,2843364,2843394,0,,2994983,2994983,0,,14560042,14560072,0,1951041340,2795521344,5523621,0,0,0,
2791683,2791683,0,,2892471,2892469,0,,3022751,3022749,0,,2839854,2839856,0,,2990904,2990903,0,,14537663,14537660,0,1948046842,2791230720,5545942,0,0,0,
2791885,2791885,0,,2896843,2896845,0,,3026084,3026083,0,,2843311,2843310,0,,2995163,2995164,0,,14553286,14553287,0,1950140324,2794231104,5530447,0,0,0,
2800706,2800706,0,,2896521,2896521,0,,3026502,3026473,0,,2843173,2843174,0,,2995662,2995662,0,,14562564,14562536,0,1951383576,2796012864,5521149,0,0,0,
2802938,2802938,0,,2897416,2897416,0,,3027032,3027062,0,,2843605,2843605,0,,2996074,2996074,0,,14567065,14567095,0,1951990998,2796876672,5516521,0,0,0,
2800572,2800572,0,,2895449,2895449,0,,3023359,3023361,0,,2840041,2840039,0,,2992061,2992061,0,,14551482,14551482,0,1949894300,2793884160,5532104,0,0,0,
2801316,2801316,0,,2896361,2896361,0,,3024436,3024436,0,,2840975,2840976,0,,2993002,2993001,0,,14556090,14556090,0,1950520348,2794769280,5527567,0,0,0,
2795568,2795568,0,,2897971,2897970,0,,3025750,3025750,0,,2841791,2841792,0,,2993890,2993891,0,,14554970,14554971,0,1950361692,2794554432,5528823,0,0,0,
2795816,2795816,0,,2903287,2903287,0,,3027486,3027483,0,,2843220,2843217,0,,2995674,2995674,0,,14565483,14565477,0,1951778608,2796572544,5518188,0,0,0,
473462,473462,0,,494931,494900,0,,515457,515428,0,,484255,484226,0,,510022,509990,0,,2478127,2478006,0,332065132,475776192,939784,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
