Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
933187,933187,0,,933153,933168,0,,933044,933044,0,,2799384,2799399,0,537487872,537487104,0,0,0,0,
933183,933183,0,,933215,933183,0,,933079,933047,0,,2799477,2799413,0,537493440,537483264,0,0,0,0,
933167,933167,0,,933160,933175,0,,933033,933041,0,,2799360,2799383,0,537481536,537481536,0,0,0,0,
933176,933176,0,,933183,933176,0,,933041,933041,0,,2799400,2799393,0,537483456,537484800,0,0,0,0,
933205,933205,0,,933195,933201,0,,933072,933069,0,,2799472,2799475,0,537495552,537498816,0,0,0,0,
933176,933176,0,,933190,933176,0,,933046,933041,0,,2799412,2799393,0,537487104,537483264,0,0,0,0,
933160,933160,0,,933136,933168,0,,933022,933042,0,,2799318,2799370,0,537469056,537479616,0,0,0,0,
933183,933183,0,,933202,933182,0,,933022,933034,0,,2799407,2799399,0,537486144,537484608,0,0,0,0,
933181,933181,0,,933182,933176,0,,933075,933048,0,,2799438,2799405,0,537492096,537484416,0,0,0,0,
933169,933169,0,,933169,933163,0,,933034,933042,0,,2799372,2799374,0,537479424,537482112,0,0,0,0,
933180,933180,0,,933180,933187,0,,933046,933041,0,,2799406,2799408,0,537485952,537484800,0,0,0,0,
933196,933196,0,,933196,933202,0,,933063,933069,0,,2799455,2799467,0,537498048,537496896,0,0,0,0,
933177,933177,0,,933177,933175,0,,933015,933033,0,,2799369,2799385,0,537476160,537483456,0,0,0,0,
933179,933179,0,,933179,933176,0,,933074,933049,0,,2799432,2799404,0,537492480,537484416,0,0,0,0,
933174,933174,0,,933174,933175,0,,933009,933034,0,,2799357,2799383,0,537481152,537482688,0,0,0,0,
933179,933179,0,,933184,933175,0,,933075,933049,0,,2799438,2799403,0,537487104,537484992,0,0,0,0,
933175,933175,0,,933176,933176,0,,933047,933041,0,,2799398,2799392,0,537483264,537483072,0,0,0,0,
933181,933181,0,,933167,933175,0,,933034,933042,0,,2799382,2799398,0,537482880,537483456,0,0,0,0,
380232,380232,0,,380239,380231,0,,380185,380177,0,,1140656,1140640,0,219004416,219002880,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
856926,856926,0,,852497,852527,0,,837214,837246,0,,2546637,2546699,0,488960064,488980224,206927,0,0,0,
1010844,1010844,0,,1004429,1004431,0,,986809,986809,0,,3002082,3002084,0,576393984,576389760,268369,0,0,0,
1010801,1010801,0,,1004206,1004205,0,,985563,985563,0,,3000570,3000569,0,576109440,576107136,269952,0,0,0,
1008984,1008984,0,,1003352,1003353,0,,984744,984744,0,,2997080,2997081,0,575439360,575439360,273288,0,0,0,
1009212,1009212,0,,1003738,1003738,0,,985086,985086,0,,2998036,2998036,0,575622912,575632128,272387,0,0,0,
1010320,1010320,0,,1003705,1003702,0,,986356,986356,0,,3000381,3000378,0,576073152,576062208,270071,0,0,0,
1007721,1007721,0,,1001000,1001003,0,,984642,984642,0,,2993363,2993366,0,574731840,574726848,276859,0,0,0,
1006354,1006354,0,,999488,999488,0,,984124,984122,0,,2989966,2989964,0,574067328,574077504,280647,0,0,0,
1007725,1007725,0,,1001292,1001292,0,,985027,985026,0,,2994044,2994043,0,574856448,574854912,276374,0,0,0,
1010758,1010758,0,,1004232,1004231,0,,987236,987239,0,,3002226,3002228,0,576427392,576425088,268152,0,0,0,
1009589,1009589,0,,1003196,1003197,0,,985689,985689,0,,2998474,2998475,0,575707008,575707200,271841,0,0,0,
1011500,1011500,0,,1006362,1006362,0,,986597,986597,0,,3004459,3004459,0,576862272,576863616,265987,0,0,0,
1007533,1007533,0,,1002686,1002684,0,,984255,984254,0,,2994474,2994471,0,574932864,574931136,275995,0,0,0,
1010516,1010516,0,,1005367,1005369,0,,985381,985382,0,,3001264,3001267,0,576242688,576242496,269177,0,0,0,
1010432,1010432,0,,1005208,1005208,0,,985708,985708,0,,3001348,3001348,0,576258816,576265152,269047,0,0,0,
1008917,1008917,0,,1003161,1003159,0,,985341,985341,0,,2997419,2997417,0,575504448,575500224,273063,0,0,0,
1010743,1010743,0,,1004642,1004644,0,,985920,985920,0,,3001305,3001307,0,576256704,576256704,269063,0,0,0,
1006248,1006248,0,,1001906,1001906,0,,983254,983254,0,,2991408,2991408,0,574344192,574348992,279074,0,0,0,
1008231,1008231,0,,1003034,1003034,0,,983749,983749,0,,2995014,2995014,0,575042688,575040576,275418,0,0,0,
1011118,1011118,0,,1006558,1006558,0,,987390,987389,0,,3005066,3005065,0,576972672,576969792,265338,0,0,0,
1009240,1009240,0,,1003887,1003887,0,,984922,984923,0,,2998049,2998050,0,575625408,575625984,272360,0,0,0,
1010747,1010747,0,,1004082,1004082,0,,984620,984620,0,,2999449,2999449,0,575900352,575896320,270903,0,0,0,
1007649,1007649,0,,1001382,1001382,0,,983934,983934,0,,2992965,2992965,0,574643136,574649472,277413,0,0,0,
802094,802094,0,,797230,797198,0,,784165,784133,0,,2383489,2383425,0,457629888,457612224,215743,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
478188,478188,0,,478059,478091,0,,471073,471105,0,,1427320,1427384,0,274045440,274064640,0,0,0,0,
1008929,1008929,0,,1005169,1005168,0,,990499,990499,0,,3004597,3004596,0,576882624,576881088,19234,0,0,0,
1012035,1012035,0,,1009366,1009367,0,,991660,991660,0,,3013061,3013062,0,578507712,578508096,18265,0,0,0,
1009757,1009757,0,,1013241,1013241,0,,995226,995223,0,,3018224,3018221,0,579504576,579502656,14653,0,0,0,
1010058,1010058,0,,1009131,1009131,0,,993897,993900,0,,3013086,3013089,0,578506944,578513280,16027,0,0,0,
1010329,1010329,0,,1010407,1010407,0,,993551,993551,0,,3014287,3014287,0,578743104,578741568,16334,0,0,0,
1009886,1009886,0,,1012607,1012605,0,,997573,997573,0,,3020066,3020064,0,579852672,579844416,12421,0,0,0,
1010175,1010175,0,,1009830,1009832,0,,995795,995795,0,,3015800,3015802,0,579045888,579049536,14068,0,0,0,
1010162,1010162,0,,1008288,1008288,0,,995214,995214,0,,3013664,3013664,0,578611200,578608704,14782,0,0,0,
1009854,1009854,0,,1007127,1007127,0,,989777,989777,0,,3006758,3006758,0,577297536,577296960,20054,0,0,0,
1009990,1009990,0,,1013166,1013166,0,,994663,994663,0,,3017819,3017819,0,579421248,579431424,15289,0,0,0,
1010269,1010269,0,,1011691,1011688,0,,994932,994932,0,,3016892,3016889,0,579243264,579233472,14965,0,0,0,
1009149,1009149,0,,1006021,1006024,0,,992009,992008,0,,3007179,3007181,0,577378368,577382976,17903,0,0,0,
1010077,1010077,0,,1008366,1008366,0,,991999,992000,0,,3010442,3010443,0,578004864,578004096,17909,0,0,0,
1010988,1010988,0,,1010013,1010013,0,,992888,992888,0,,3013889,3013889,0,578666688,578663232,17975,0,0,0,
1010040,1010040,0,,1012741,1012741,0,,994435,994435,0,,3017216,3017216,0,579305472,579316224,15489,0,0,0,
1009527,1009527,0,,1007637,1007637,0,,990016,990016,0,,3007180,3007180,0,577378560,577372608,19912,0,0,0,
1009568,1009568,0,,1008613,1008613,0,,989216,989216,0,,3007397,3007397,0,577420224,577421376,20700,0,0,0,
1011096,1011096,0,,1009184,1009184,0,,992508,992508,0,,3012788,3012788,0,578461440,578454720,19167,0,0,0,
1009648,1009648,0,,1009343,1009343,0,,992497,992497,0,,3011488,3011488,0,578199552,578199168,18874,0,0,0,
1010263,1010263,0,,1010917,1010885,0,,995480,995480,0,,3016660,3016628,0,579198720,579200256,14436,0,0,0,
1009997,1009997,0,,1008296,1008328,0,,991898,991898,0,,3010191,3010223,0,577962816,577967616,18196,0,0,0,
1010351,1010351,0,,1014526,1014523,0,,996227,996227,0,,3021104,3021101,0,580045824,580041024,13705,0,0,0,
1009849,1009849,0,,1006985,1006988,0,,988603,988603,0,,3005437,3005440,0,577043904,577049472,21309,0,0,0,
178221,178221,0,,183301,183269,0,,184207,184175,0,,545729,545665,0,104779968,104760000,1851,0,0,0,
85092,85092,0,,84655,84687,0,,83044,83074,0,,252791,252853,0,48535872,48550464,0,0,0,0,
1007867,1007867,0,,1003511,1003511,0,,983553,983552,0,,2994931,2994930,0,575026752,575024640,142679,0,0,0,
1006478,1006478,0,,1000840,1000840,0,,983636,983639,0,,2990954,2990957,0,574263168,574265280,158879,0,0,0,
1007527,1007527,0,,1001807,1001807,0,,983446,983446,0,,2992780,2992780,0,574613760,574612032,156926,0,0,0,
1008665,1008665,0,,1002890,1002890,0,,983838,983838,0,,2995393,2995393,0,575115456,575116224,154455,0,0,0,
1010550,1010550,0,,1003924,1003923,0,,987580,987580,0,,3002054,3002053,0,576394368,576394560,147762,0,0,0,
1008826,1008826,0,,1003609,1003610,0,,985172,985170,0,,2997607,2997606,0,575540544,575546496,152104,0,0,0,
1008375,1008375,0,,1001990,1001990,0,,984727,984729,0,,2995092,2995094,0,575057664,575054208,154663,0,0,0,
1011419,1011419,0,,1006402,1006402,0,,986828,986828,0,,3004649,3004649,0,576892608,576894528,145145,0,0,0,
1008199,1008199,0,,1004359,1004359,0,,984638,984638,0,,2997196,2997196,0,575461632,575459712,152602,0,0,0,
1009771,1009771,0,,1005772,1005772,0,,986807,986804,0,,3002350,3002347,0,576451200,576447936,147427,0,0,0,
1011043,1011043,0,,1003796,1003795,0,,986231,986234,0,,3001070,3001072,0,576205440,576211584,148689,0,0,0,
1010080,1010080,0,,1002159,1002159,0,,986493,986490,0,,2998732,2998729,0,575762112,575758464,151005,0,0,0,
1008451,1008451,0,,1001549,1001547,0,,985508,985511,0,,2995508,2995509,0,575131968,575135040,154287,0,0,0,
1009623,1009623,0,,1002887,1002890,0,,986621,986621,0,,2999131,2999134,0,575833152,575829696,150583,0,0,0,
1012285,1012285,0,,1005424,1005424,0,,988092,988089,0,,3005801,3005798,0,577113792,577117056,144063,0,0,0,
1011074,1011074,0,,1005356,1005354,0,,985736,985707,0,,3002166,3002135,0,576415872,576413760,147638,0,0,0,
1007922,1007922,0,,1003062,1003063,0,,983738,983768,0,,2994722,2994753,0,574986624,574984896,154908,0,0,0,
1008500,1008500,0,,1002236,1002237,0,,984178,984178,0,,2994914,2994915,0,575023488,575025216,154992,0,0,0,
1007300,1007300,0,,1002790,1002787,0,,983283,983285,0,,2993373,2993372,0,574727616,574728000,156285,0,0,0,
1010837,1010837,0,,1005352,1005355,0,,986169,986169,0,,3002358,3002361,0,576452736,576451392,147474,0,0,0,
