Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
482984,482984,0,,476086,476086,0,,447085,447084,0,,452728,452726,0,,444651,444649,0,,2303534,2303529,0,589696512,589693184,3946304,0,0,0,
482504,482504,0,,475934,475934,0,,446281,446280,0,,451802,451804,0,,444947,444949,0,,2301468,2301471,0,589175808,589178624,3948448,0,0,0,
481548,481548,0,,476645,476645,0,,446379,446381,0,,452725,452725,0,,444890,444887,0,,2302187,2302186,0,589367296,589364480,3947753,0,0,0,
482622,482622,0,,476554,476552,0,,447152,447151,0,,452482,452482,0,,446058,446060,0,,2304868,2304867,0,590038784,590038016,3944991,0,0,0,
482614,482614,0,,475841,475840,0,,445974,445975,0,,452713,452712,0,,445615,445616,0,,2302757,2302757,0,589505792,589509120,3947217,0,0,0,
483411,483411,0,,477027,477030,0,,447345,447343,0,,452405,452404,0,,445516,445516,0,,2305704,2305704,0,590260224,590259200,3944138,0,0,0,
482255,482255,0,,475508,475508,0,,446752,446752,0,,452908,452908,0,,445165,445165,0,,2302588,2302588,0,589462528,589464064,3947004,0,0,0,
482510,482510,0,,475943,475943,0,,446665,446667,0,,453261,453263,0,,444487,444486,0,,2302866,2302869,0,589541888,589534720,3947120,0,0,0,
88092,88092,0,,87493,87461,0,,82522,82490,0,,83459,83427,0,,81958,81927,0,,423524,423397,0,108413952,108382464,654093,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
281539,281539,0,,277420,277452,0,,259894,259923,0,,263461,263493,0,,259346,259378,0,,1341660,1341785,0,343464960,343503872,436932,0,0,0,
482614,482614,0,,476896,476896,0,,445975,445978,0,,452458,452455,0,,445428,445428,0,,2303371,2303371,0,589662976,589662464,817316,0,0,0,
483036,483036,0,,475995,475995,0,,446172,446172,0,,452092,452095,0,,444637,444637,0,,2301932,2301935,0,589294592,589295360,819044,0,0,0,
483359,483359,0,,475773,475773,0,,445436,445436,0,,451618,451618,0,,444676,444675,0,,2300862,2300861,0,589020672,589028352,820064,0,0,0,
483503,483503,0,,475966,475966,0,,446436,446433,0,,451875,451875,0,,445336,445337,0,,2303116,2303114,0,589597696,589591552,817994,0,0,0,
482862,482862,0,,476016,476016,0,,446617,446617,0,,451658,451658,0,,445501,445501,0,,2302654,2302654,0,589479424,589474048,818119,0,0,0,
482701,482701,0,,475761,475761,0,,445843,445846,0,,451261,451261,0,,445593,445590,0,,2301159,2301159,0,589096704,589105152,819774,0,0,0,
482176,482176,0,,475993,475991,0,,446620,446620,0,,452642,452641,0,,445429,445432,0,,2302860,2302860,0,589532160,589524224,818025,0,0,0,
483241,483241,0,,476639,476641,0,,446040,446037,0,,451347,451348,0,,445213,445213,0,,2302480,2302480,0,589434880,589436416,818526,0,0,0,
483422,483422,0,,476332,476332,0,,445994,445997,0,,451903,451902,0,,444572,444572,0,,2302223,2302225,0,589369088,589367296,818605,0,0,0,
482079,482079,0,,476484,476484,0,,446286,446283,0,,452955,452954,0,,444953,444953,0,,2302757,2302753,0,589505792,589506304,818002,0,0,0,
483280,483280,0,,475622,475621,0,,446294,446297,0,,451739,451740,0,,445332,445332,0,,2302267,2302270,0,589380352,589377792,818554,0,0,0,
482834,482834,0,,476511,476512,0,,446153,446153,0,,452165,452166,0,,445005,445005,0,,2302668,2302670,0,589483008,589487104,818466,0,0,0,
482680,482680,0,,475033,475033,0,,446553,446553,0,,451895,451895,0,,445329,445327,0,,2301490,2301488,0,589181440,589179648,819133,0,0,0,
483152,483152,0,,475993,475993,0,,446125,446125,0,,452482,452482,0,,444612,444614,0,,2302364,2302366,0,589405184,589405952,818443,0,0,0,
483452,483452,0,,475475,475474,0,,446254,446253,0,,452106,452106,0,,444614,444613,0,,2301901,2301898,0,589286656,589284096,818944,0,0,0,
482827,482827,0,,476309,476310,0,,446948,446949,0,,451693,451693,0,,445046,445046,0,,2302823,2302825,0,589522688,589525248,818091,0,0,0,
217720,217720,0,,214967,214935,0,,202050,202018,0,,204434,204402,0,,201795,201764,0,,1040966,1040839,0,266487296,266450688,356597,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
96690,96690,0,,97920,97937,0,,100089,100108,0,,87824,87848,0,,99305,99305,0,,481828,481888,0,123347968,123365376,0,0,0,0,
312861,312861,0,,320633,320616,0,,330806,330794,0,,280923,280899,0,,315250,315250,0,,1560473,1560420,0,399482880,399465472,0,0,0,0,
313172,313172,0,,320401,320401,0,,330734,330727,0,,280584,280584,0,,315504,315504,0,,1560395,1560388,0,399459328,399459328,0,0,0,0,
313399,313399,0,,320765,320765,0,,330581,330581,0,,281119,281119,0,,314524,314524,0,,1560388,1560388,0,399459328,399459328,0,0,0,0,
313182,313182,0,,320565,320565,0,,331261,331261,0,,280303,280303,0,,315077,315077,0,,1560388,1560388,0,399459328,399459328,0,0,0,0,
313421,313421,0,,320831,320831,0,,330835,330835,0,,280728,280728,0,,314573,314573,0,,1560388,1560388,0,399459328,399459328,0,0,0,0,
313548,313548,0,,320398,320398,0,,330384,330384,0,,281122,281122,0,,314936,314937,0,,1560388,1560389,0,399459584,399460608,0,0,0,0,
312981,312981,0,,319990,319990,0,,331516,331548,0,,280584,280584,0,,315396,315395,0,,1560467,1560498,0,399490304,399489280,0,0,0,0,
312532,312532,0,,321084,321110,0,,330588,330579,0,,280890,280890,0,,315292,315292,0,,1560386,1560403,0,399460864,399460864,0,0,0,0,
313042,313042,0,,320230,320204,0,,330659,330636,0,,280809,280809,0,,315699,315699,0,,1560439,1560390,0,399459328,399459328,0,0,0,0,
312641,312641,0,,320422,320422,0,,331582,331582,0,,281386,281386,0,,314357,314357,0,,1560388,1560388,0,399459328,399459328,0,0,0,0,
313204,313204,0,,321373,321373,0,,330043,330043,0,,279934,279934,0,,315834,315834,0,,1560388,1560388,0,399459328,399459328,0,0,0,0,
313336,313336,0,,320787,320787,0,,330627,330627,0,,280280,280280,0,,315358,315358,0,,1560388,1560388,0,399459328,399459584,0,0,0,0,
