Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
2955571,2955571,0,,14068272,14068304,0,,1551039,1551033,0,,18574882,18574908,0,3566382336,3566385600,3966930,0,0,0,
401838,401838,0,,1922504,1922472,0,,210964,210964,0,,2535306,2535274,0,486772608,486763200,536670,0,0,0,
295619,295619,0,,1705316,1705348,0,,155186,155186,0,,2156121,2156153,0,413981376,413981760,88524,0,0,0,
2447990,2447990,0,,14156114,14156082,0,,1284751,1284751,0,,17888855,17888823,0,3434654016,3434659776,780817,0,0,0,
2448083,2448083,0,,14154354,14154386,0,,1284697,1284697,0,,17887134,17887166,0,3434329728,3434332224,782654,0,0,0,
2447663,2447663,0,,14152108,14152108,0,,1284485,1284485,0,,17884256,17884256,0,3433777344,3433776000,784944,0,0,0,
2448114,2448114,0,,14153528,14153528,0,,1284771,1284771,0,,17886413,17886413,0,3434191296,3434191680,782989,0,0,0,
2448025,2448025,0,,14155448,14155448,0,,1284834,1284834,0,,17888307,17888307,0,3434554752,3434555520,781208,0,0,0,
2448031,2448031,0,,14155824,14155792,0,,1284668,1284668,0,,17888523,17888491,0,3434596416,3434595648,781286,0,0,0,
2447997,2447997,0,,14153984,14154016,0,,1284647,1284664,0,,17886628,17886677,0,3434241984,3434244288,783221,0,0,0,
2447759,2447759,0,,14149984,14149952,0,,1284592,1284575,0,,17882335,17882286,0,3433399296,3433401216,787006,0,0,0,
2448127,2448127,0,,14153468,14153468,0,,1284838,1284838,0,,17886433,17886433,0,3434194944,3434189184,783056,0,0,0,
2447905,2447905,0,,14152553,14152584,0,,1284670,1284675,0,,17885128,17885164,0,3433951296,3433945152,784252,0,0,0,
2448099,2448099,0,,14155346,14155315,0,,1284695,1284690,0,,17888140,17888104,0,3434515968,3434523072,781602,0,0,0,
2447643,2447643,0,,14151965,14151997,0,,1284504,1284504,0,,17884112,17884144,0,3433755840,3433751232,785053,0,0,0,
2448165,2448165,0,,14152175,14152175,0,,1284841,1284841,0,,17885181,17885181,0,3433955904,3433958976,784465,0,0,0,
2447917,2447917,0,,14149793,14149793,0,,1284728,1284728,0,,17882438,17882438,0,3433426752,3433427712,787194,0,0,0,
2448183,2448183,0,,14148410,14148407,0,,1284733,1284738,0,,17881326,17881328,0,3433214976,3433208448,788672,0,0,0,
2447554,2447554,0,,14155038,14155041,0,,1284467,1284462,0,,17887059,17887057,0,3434315136,3434321280,782203,0,0,0,
2448233,2448233,0,,14154097,14154096,0,,1284813,1284813,0,,17887143,17887142,0,3434331456,3434331456,782533,0,0,0,
2448073,2448073,0,,14150269,14150270,0,,1284845,1284845,0,,17883187,17883188,0,3433571712,3433572480,786579,0,0,0,
2448011,2448011,0,,14152734,14152733,0,,1284667,1284667,0,,17885412,17885411,0,3433998912,3434005056,784510,0,0,0,
2447966,2447966,0,,14154608,14154609,0,,1284637,1284637,0,,17887211,17887212,0,3434344704,3434331648,782406,0,0,0,
2447762,2447762,0,,14147008,14147008,0,,1284584,1284584,0,,17879354,17879354,0,3432835968,3432842496,789622,0,0,0,
2448125,2448125,0,,14148006,14148004,0,,1284844,1284844,0,,17880975,17880973,0,3433141056,3433140288,788662,0,0,0,
2447921,2447921,0,,14148226,14148228,0,,1284676,1284676,0,,17880823,17880825,0,3433124160,3433130688,788793,0,0,0,
1310408,1310408,0,,7578724,7578692,0,,687655,687655,0,,9576787,9576755,0,1838736960,1838724672,423860,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1592508,1592508,0,,9714690,9714722,0,,835779,835784,0,,12142977,12143014,0,2331452544,2331464640,0,0,0,0,
2206643,2206643,0,,13464716,13464716,0,,1158109,1158104,0,,16829468,16829463,0,3231263040,3231256704,0,0,0,0,
2206904,2206904,0,,13464618,13464618,0,,1158109,1158109,0,,16829631,16829631,0,3231283776,3231289152,0,0,0,0,
2206412,2206412,0,,13465401,13465398,0,,1157909,1157909,0,,16829722,16829719,0,3231311424,3231300480,0,0,0,0,
2206852,2206852,0,,13464705,13464676,0,,1158127,1158133,0,,16829684,16829661,0,3231300672,3231300480,0,0,0,0,
2206864,2206864,0,,13464642,13464674,0,,1158219,1158215,0,,16829725,16829753,0,3231306816,3231312576,0,0,0,0,
2206575,2206575,0,,13464160,13464160,0,,1158013,1158011,0,,16828748,16828746,0,3231113088,3231120768,0,0,0,0,
2206848,2206848,0,,13465022,13465022,0,,1158115,1158115,0,,16829985,16829985,0,3231363264,3231349824,0,0,0,0,
2206401,2206401,0,,13465272,13465272,0,,1157896,1157896,0,,16829569,16829569,0,3231277248,3231283200,0,0,0,0,
2206723,2206723,0,,13463465,13463465,0,,1158159,1158159,0,,16828347,16828347,0,3231036480,3231040128,0,0,0,0,
2206666,2206666,0,,13464797,13464797,0,,1158097,1158097,0,,16829560,16829560,0,3231281664,3231279744,0,0,0,0,
2206926,2206926,0,,13464807,13464807,0,,1158130,1158132,0,,16829863,16829865,0,3231334080,3231330240,0,0,0,0,
2206259,2206259,0,,13465209,13465209,0,,1157818,1157816,0,,16829286,16829284,0,3231216384,3231226752,0,0,0,0,
2206962,2206962,0,,13464687,13464685,0,,1158204,1158204,0,,16829853,16829851,0,3231337536,3231329664,0,0,0,0,
2206726,2206726,0,,13464389,13464389,0,,1158195,1158195,0,,16829310,16829310,0,3231227520,3231230784,0,0,0,0,
2206752,2206752,0,,13464301,13464303,0,,1158044,1158044,0,,16829097,16829099,0,3231187008,3231185664,0,0,0,0,
2206597,2206597,0,,13464811,13464811,0,,1157925,1157925,0,,16829333,16829333,0,3231231936,3231224064,0,0,0,0,
2206551,2206551,0,,13464756,13464756,0,,1158038,1158041,0,,16829345,16829348,0,3231234816,3231235776,0,0,0,0,
2206828,2206828,0,,13464216,13464216,0,,1158196,1158193,0,,16829240,16829237,0,3231213504,3231215808,0,0,0,0,
2206636,2206636,0,,13464737,13464737,0,,1158068,1158068,0,,16829441,16829441,0,3231252672,3231249024,0,0,0,0,
2206845,2206845,0,,13464626,13464626,0,,1158122,1158122,0,,16829593,16829593,0,3231281856,3231287808,0,0,0,0,
2206373,2206373,0,,13465120,13465088,0,,1157840,1157840,0,,16829333,16829301,0,3231225984,3231227520,0,0,0,0,
2206856,2206856,0,,13464737,13464737,0,,1158221,1158221,0,,16829814,16829814,0,3231324096,3231322752,0,0,0,0,
2029907,2029907,0,,12386523,12386523,0,,1065254,1065254,0,,15481684,15481684,0,2972483328,2972477184,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
794942,794942,0,,4809485,4809517,0,,417174,417174,0,,6021601,6021633,0,1156153536,1156161984,31633,0,0,0,
2338496,2338496,0,,14175453,14175453,0,,1227304,1227304,0,,17741253,17741253,0,3406320576,3406317696,92818,0,0,0,
2338270,2338270,0,,14180666,14180666,0,,1227160,1227166,0,,17746096,17746102,0,3407251584,3407252352,87313,0,0,0,
2338570,2338570,0,,14180206,14180206,0,,1227213,1227207,0,,17745989,17745983,0,3407229312,3407233728,87987,0,0,0,
2338038,2338038,0,,14179465,14179433,0,,1226986,1226990,0,,17744489,17744461,0,3406935936,3406941696,88785,0,0,0,
2338505,2338505,0,,14177853,14177853,0,,1227230,1227226,0,,17743588,17743584,0,3406768128,3406758720,90347,0,0,0,
2338499,2338499,0,,14183041,14183073,0,,1227307,1227307,0,,17748847,17748879,0,3407784768,3407790720,85253,0,0,0,
2338376,2338376,0,,14179440,14179440,0,,1227204,1227204,0,,17745020,17745020,0,3407038080,3407031168,89313,0,0,0,
2338561,2338561,0,,14181888,14181888,0,,1227246,1227246,0,,17747695,17747695,0,3407563200,3407572416,86252,0,0,0,
2337919,2337919,0,,14174351,14174351,0,,1226876,1226876,0,,17739146,17739146,0,3405916032,3405909504,93155,0,0,0,
2338525,2338525,0,,14182199,14182167,0,,1227247,1227247,0,,17747971,17747939,0,3407605056,3407608704,85891,0,0,0,
2338467,2338467,0,,14179378,14179410,0,,1227308,1227308,0,,17745153,17745185,0,3407074752,3407067648,88709,0,0,0,
2338320,2338320,0,,14178226,14178224,0,,1227190,1227191,0,,17743736,17743735,0,3406791360,3406791744,90433,0,0,0,
2338579,2338579,0,,14174913,14174915,0,,1227206,1227205,0,,17740698,17740699,0,3406219968,3406221504,93272,0,0,0,
2338213,2338213,0,,14181073,14181073,0,,1227073,1227073,0,,17746359,17746359,0,3407300928,3407299584,87454,0,0,0,
2338339,2338339,0,,14182028,14182028,0,,1227151,1227151,0,,17747518,17747518,0,3407523648,3407521536,86079,0,0,0,
2338508,2338508,0,,14177267,14177267,0,,1227294,1227294,0,,17743069,17743069,0,3406669056,3406668864,90989,0,0,0,
2338360,2338360,0,,14178713,14178712,0,,1227226,1227241,0,,17744299,17744313,0,3406908096,3406910208,89912,0,0,0,
2338537,2338537,0,,14185164,14185165,0,,1227203,1227205,0,,17750904,17750907,0,3408174144,3408176832,82770,0,0,0,
2338230,2338230,0,,14183292,14183289,0,,1227040,1227023,0,,17748562,17748542,0,3407720064,3407726016,84911,0,0,0,
2338267,2338267,0,,14179094,14179097,0,,1227142,1227142,0,,17744503,17744506,0,3406945152,3406935360,89129,0,0,0,
2338494,2338494,0,,14181166,14181166,0,,1227285,1227285,0,,17746945,17746945,0,3407413440,3407417664,86861,0,0,0,
