Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
2699841,2699841,0,,2682098,2682098,0,,2620666,2620666,0,,2626068,2626069,0,,2583223,2583223,0,,0,0,0,,13211896,13211897,0,1625059518,2536678080,6871938,0,0,0,
2699393,2699393,0,,2683030,2683028,0,,2620543,2620543,0,,2633028,2633029,0,,2582464,2582464,0,,0,0,0,,13218458,13218457,0,1625870334,2537943936,6865141,0,0,0,
2700326,2700326,0,,2683272,2683271,0,,2621322,2621320,0,,2636362,2636362,0,,2583277,2583277,0,,0,0,0,,13224559,13224556,0,1626620757,2539114560,6859074,0,0,0,
2700063,2700063,0,,2686553,2686556,0,,2620098,2620100,0,,2635410,2635407,0,,2576628,2576628,0,,0,0,0,,13218752,13218754,0,1625910432,2538000768,6864877,0,0,0,
2699685,2699685,0,,2688475,2688475,0,,2619527,2619527,0,,2634139,2634140,0,,2578573,2578571,0,,0,0,0,,13220399,13220398,0,1626105141,2538316416,6863220,0,0,0,
2700220,2700220,0,,2701699,2701696,0,,2621015,2621013,0,,2635459,2635460,0,,2579144,2579146,0,,0,0,0,,13237537,13237535,0,1628220864,2541606720,6845840,0,0,0,
2700876,2700876,0,,2704360,2704363,0,,2622824,2622826,0,,2637318,2637319,0,,2584270,2584270,0,,0,0,0,,13249648,13249654,0,1629702891,2543933568,6834165,0,0,0,
2702310,2702310,0,,2704878,2704875,0,,2623391,2623391,0,,2638321,2638320,0,,2579021,2579021,0,,0,0,0,,13247921,13247917,0,1629494283,2543600064,6835741,0,0,0,
2700692,2700692,0,,2702674,2702676,0,,2622035,2622035,0,,2631642,2631643,0,,2580319,2580317,0,,0,0,0,,13237362,13237363,0,1628199216,2541573696,6846193,0,0,0,
2702647,2702647,0,,2705457,2705455,0,,2623877,2623875,0,,2631701,2631698,0,,2583809,2583811,0,,0,0,0,,13247491,13247486,0,1629437703,2543517504,6836068,0,0,0,
2702532,2702532,0,,2705564,2705567,0,,2624117,2624117,0,,2634056,2634059,0,,2579775,2579773,0,,0,0,0,,13246044,13246048,0,1629263412,2543242752,6837612,0,0,0,
2702591,2702591,0,,2705295,2705294,0,,2623599,2623601,0,,2629987,2629987,0,,2572935,2572936,0,,0,0,0,,13234407,13234409,0,1627832061,2541004800,6849147,0,0,0,
2702274,2702274,0,,2704309,2704308,0,,2623124,2623124,0,,2633126,2633126,0,,2576739,2576737,0,,0,0,0,,13239572,13239569,0,1628471046,2542002816,6843988,0,0,0,
2703784,2703784,0,,2705725,2705727,0,,2625287,2625287,0,,2632140,2632140,0,,2580351,2580353,0,,0,0,0,,13247287,13247291,0,1629412611,2543474304,6836494,0,0,0,
2704030,2704030,0,,2706860,2706860,0,,2624417,2624417,0,,2628901,2628901,0,,2580624,2580625,0,,0,0,0,,13244832,13244833,0,1629114336,2543008128,6838905,0,0,0,
2705231,2705231,0,,2708198,2708198,0,,2625609,2625608,0,,2628621,2628621,0,,2579443,2579441,0,,0,0,0,,13247102,13247099,0,1629393546,2543442816,6836578,0,0,0,
2702903,2702903,0,,2705529,2705529,0,,2624317,2624318,0,,2629358,2629358,0,,2581519,2581519,0,,0,0,0,,13243626,13243627,0,1628965998,2542776576,6840092,0,0,0,
2704465,2704465,0,,2706133,2706133,0,,2624229,2624229,0,,2630014,2629982,0,,2583068,2583068,0,,0,0,0,,13247909,13247877,0,1629496743,2543603328,6835739,0,0,0,
2699710,2699710,0,,2701929,2701929,0,,2620364,2620364,0,,2626392,2626424,0,,2578518,2578520,0,,0,0,0,,13226913,13226947,0,1626914235,2539569216,6856853,0,0,0,
2704916,2704916,0,,2707758,2707757,0,,2625299,2625299,0,,2630180,2630180,0,,2582115,2582115,0,,0,0,0,,13250268,13250267,0,1629775092,2544044736,6833221,0,0,0,
2703637,2703637,0,,2705267,2705268,0,,2622914,2622914,0,,2629540,2629538,0,,2577596,2577593,0,,0,0,0,,13238954,13238950,0,1628391342,2541878400,6844866,0,0,0,
2704866,2704866,0,,2706914,2706914,0,,2619188,2619187,0,,2630162,2630164,0,,2578436,2578439,0,,0,0,0,,13239566,13239570,0,1628470554,2542003200,6843924,0,0,0,
2703569,2703569,0,,2707800,2707799,0,,2614012,2614011,0,,2630480,2630480,0,,2584023,2584023,0,,0,0,0,,13239884,13239882,0,1628501796,2542051584,6843826,0,0,0,
2703635,2703635,0,,2707748,2707749,0,,2624377,2624379,0,,2630089,2630087,0,,2580844,2580844,0,,0,0,0,,13246693,13246694,0,1629343239,2543365248,6836968,0,0,0,
2702444,2702444,0,,2706733,2706733,0,,2623518,2623517,0,,2629612,2629613,0,,2582633,2582632,0,,0,0,0,,13244940,13244939,0,1629127620,2543028672,6838661,0,0,0,
2703678,2703678,0,,2707794,2707794,0,,2624505,2624506,0,,2630703,2630704,0,,2584008,2584006,0,,0,0,0,,13250688,13250688,0,1629842127,2544137664,6832873,0,0,0,
2235308,2235308,0,,2239747,2239715,0,,2170719,2170687,0,,2175772,2175740,0,,2137455,2137426,0,,0,0,0,,10959001,10958876,0,1347949620,2104098240,5653141,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
259767,259767,0,,259764,259784,0,,259764,259782,0,,259768,259782,0,,259760,259774,0,,0,0,0,,1298823,1298889,0,159756951,249386688,0,0,0,0,
1999870,1999870,0,,1999873,1999853,0,,1999858,1999840,0,,1999854,1999840,0,,1999862,1999848,0,,0,0,0,,9999317,9999251,0,1229914269,1919856192,0,0,0,0,
1999882,1999882,0,,1999867,1999884,0,,1999872,1999872,0,,1999872,1999872,0,,1999872,1999872,0,,0,0,0,,9999365,9999382,0,1229923986,1919881344,0,0,0,0,
1999855,1999855,0,,1999870,1999853,0,,1999840,1999840,0,,1999840,1999840,0,,1999840,1999840,0,,0,0,0,,9999245,9999228,0,1229905167,1919853696,0,0,0,0,
1999869,1999869,0,,1999866,1999866,0,,1999849,1999866,0,,1999859,1999866,0,,1999854,1999866,0,,0,0,0,,9999297,9999333,0,1229913408,1919872320,0,0,0,0,
1999868,1999868,0,,1999871,1999872,0,,1999863,1999847,0,,1999853,1999847,0,,1999858,1999850,0,,0,0,0,,9999313,9999284,0,1229916729,1919865024,0,0,0,0,
1999877,1999877,0,,1999868,1999877,0,,1999861,1999865,0,,1999866,1999865,0,,1999866,1999862,0,,0,0,0,,9999338,9999346,0,1229919189,1919869632,0,0,0,0,
1999859,1999859,0,,1999864,1999860,0,,1999846,1999852,0,,1999840,1999848,0,,1999841,1999851,0,,0,0,0,,9999250,9999270,0,1229908857,1919866752,0,0,0,0,
1999879,1999879,0,,1999883,1999877,0,,1999871,1999860,0,,1999870,1999864,0,,1999871,1999861,0,,0,0,0,,9999374,9999341,0,1229920296,1919866560,0,0,0,0,
1999853,1999853,0,,1999853,1999858,0,,1999841,1999841,0,,1999842,1999844,0,,1999840,1999844,0,,0,0,0,,9999229,9999240,0,1229906520,1919857152,0,0,0,0,
1999880,1999880,0,,1999873,1999879,0,,1999864,1999871,0,,1999853,1999868,0,,1999862,1999868,0,,0,0,0,,9999332,9999366,0,1229922018,1919875200,0,0,0,0,
1999863,1999863,0,,1999872,1999861,0,,1999851,1999857,0,,1999864,1999855,0,,1999851,1999849,0,,0,0,0,,9999301,9999285,0,1229909226,1919869248,0,0,0,0,
1999873,1999873,0,,1999871,1999871,0,,1999862,1999849,0,,1999860,1999850,0,,1999864,1999856,0,,0,0,0,,9999330,9999299,0,1229916606,1919858880,0,0,0,0,
1999878,1999878,0,,1999873,1999884,0,,1999868,1999872,0,,1999867,1999872,0,,1999861,1999872,0,,0,0,0,,9999347,9999378,0,1229923002,1919880576,0,0,0,0,
1999859,1999859,0,,1999864,1999853,0,,1999844,1999840,0,,1999845,1999840,0,,1999851,1999840,0,,0,0,0,,9999263,9999232,0,1229906028,1919852544,0,0,0,0,
1999856,1999856,0,,1999853,1999863,0,,1999841,1999841,0,,1999841,1999855,0,,1999845,1999845,0,,0,0,0,,9999236,9999260,0,1229907258,1919865984,0,0,0,0,
1999881,1999881,0,,1999884,1999874,0,,1999871,1999871,0,,1999871,1999857,0,,1999867,1999867,0,,0,0,0,,9999374,9999350,0,1229921772,1919867136,0,0,0,0,
1999857,1999857,0,,1999858,1999858,0,,1999841,1999845,0,,1999845,1999845,0,,1999842,1999849,0,,0,0,0,,9999243,9999254,0,1229908242,1919867712,0,0,0,0,
1999869,1999869,0,,1999867,1999873,0,,1999860,1999860,0,,1999842,1999861,0,,1999851,1999857,0,,0,0,0,,9999289,9999320,0,1229915622,1919858496,0,0,0,0,
1999865,1999865,0,,1999867,1999871,0,,1999852,1999865,0,,1999865,1999853,0,,1999860,1999855,0,,0,0,0,,9999309,9999309,0,1229912424,1919871744,0,0,0,0,
1999878,1999878,0,,1999876,1999866,0,,1999864,1999847,0,,1999866,1999859,0,,1999865,1999857,0,,0,0,0,,9999349,9999307,0,1229918082,1919862528,0,0,0,0,
1999871,1999871,0,,1999860,1999879,0,,1999862,1999872,0,,1999860,1999860,0,,1999856,1999872,0,,0,0,0,,9999309,9999354,0,1229915007,1919878272,0,0,0,0,
1999866,1999866,0,,1999877,1999858,0,,1999850,1999840,0,,1999852,1999852,0,,1999856,1999840,0,,0,0,0,,9999301,9999256,0,1229914023,1919855424,0,0,0,0,
1999861,1999861,0,,1999858,1999873,0,,1999848,1999866,0,,1999848,1999861,0,,1999840,1999853,0,,0,0,0,,9999255,9999314,0,1229909964,1919870016,0,0,0,0,
1999875,1999875,0,,1999879,1999864,0,,1999864,1999846,0,,1999864,1999851,0,,1999872,1999859,0,,0,0,0,,9999354,9999295,0,1229918943,1919862336,0,0,0,0,
1999854,1999854,0,,1999853,1999854,0,,1999840,1999841,0,,1999841,1999841,0,,1999840,1999843,0,,0,0,0,,9999228,9999233,0,1229905905,1919860032,0,0,0,0,
1999878,1999878,0,,1999879,1999878,0,,1999857,1999865,0,,1999865,1999865,0,,1999865,1999862,0,,0,0,0,,9999344,9999348,0,1229919558,1919867520,0,0,0,0,
1999878,1999878,0,,1999877,1999884,0,,1999874,1999872,0,,1999862,1999872,0,,1999872,1999872,0,,0,0,0,,9999363,9999378,0,1229923494,1919880576,0,0,0,0,
1999875,1999875,0,,1999866,1999879,0,,1999863,1999865,0,,1999865,1999865,0,,1999854,1999866,0,,0,0,0,,9999323,9999350,0,1229918574,1919875200,0,0,0,0,
1999868,1999868,0,,1999878,1999858,0,,1999856,1999847,0,,1999857,1999847,0,,1999858,1999846,0,,0,0,0,,9999317,9999266,0,1229911194,1919859648,0,0,0,0,
1999870,1999870,0,,1999862,1999879,0,,1999849,1999865,0,,1999850,1999865,0,,1999849,1999866,0,,0,0,0,,9999280,9999345,0,1229911440,1919873664,0,0,0,0,
1999862,1999862,0,,1999870,1999853,0,,1999856,1999840,0,,1999855,1999840,0,,1999857,1999840,0,,0,0,0,,9999300,9999235,0,1229914146,1919853888,0,0,0,0,
1999884,1999884,0,,1999884,1999884,0,,1999872,1999872,0,,1999872,1999872,0,,1999872,1999872,0,,0,0,0,,9999384,9999384,0,1229923986,1919880960,0,0,0,0,
1999856,1999856,0,,1999856,1999863,0,,1999841,1999847,0,,1999840,1999847,0,,1999840,1999846,0,,0,0,0,,9999233,9999259,0,1229908857,1919867712,0,0,0,0,
1999871,1999871,0,,1999856,1999868,0,,1999845,1999859,0,,1999845,1999859,0,,1999845,1999860,0,,0,0,0,,9999262,9999317,0,1229915991,1919858880,0,0,0,0,
1999871,1999871,0,,1999884,1999879,0,,1999871,1999863,0,,1999873,1999868,0,,1999873,1999871,0,,0,0,0,,9999372,9999352,0,1229914269,1919875584,0,0,0,0,
1999870,1999870,0,,1999872,1999858,0,,1999861,1999849,0,,1999860,1999844,0,,1999860,1999841,0,,0,0,0,,9999323,9999262,0,1229915253,1919858304,0,0,0,0,
1999879,1999879,0,,1999879,1999879,0,,1999866,1999866,0,,1999865,1999865,0,,1999865,1999865,0,,0,0,0,,9999354,9999354,0,1229920542,1919875968,0,0,0,0,
1999868,1999868,0,,1999870,1999884,0,,1999854,1999872,0,,1999850,1999867,0,,1999854,1999872,0,,0,0,0,,9999296,9999363,0,1229913408,1919877696,0,0,0,0,
1999869,1999869,0,,1999867,1999853,0,,1999858,1999840,0,,1999862,1999847,0,,1999858,1999841,0,,0,0,0,,9999314,9999250,0,1229916360,1919860224,0,0,0,0,
1999875,1999875,0,,1999864,1999882,0,,1999866,1999872,0,,1999849,1999870,0,,1999861,1999871,0,,0,0,0,,9999315,9999370,0,1229917221,1919875200,0,0,0,0,
1999862,1999862,0,,1999873,1999855,0,,1999846,1999840,0,,1999863,1999840,0,,1999851,1999840,0,,0,0,0,,9999295,9999237,0,1229911071,1919853120,0,0,0,0,
1999867,1999867,0,,1999863,1999878,0,,1999846,1999863,0,,1999850,1999866,0,,1999852,1999866,0,,0,0,0,,9999278,9999340,0,1229911194,1919873280,0,0,0,0,
