Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
8563521,8563521,0,,8563521,8563519,0,,8563467,8563466,0,,8563458,8563473,0,,8563466,8563467,0,,42817433,42817446,0,8477850942,10961266688,0,0,0,0,
8548816,8548816,0,,8548815,8548819,0,,8548761,8548764,0,,8548763,8548765,0,,8548762,8548763,0,,42743917,42743927,0,8463297546,10942444032,0,0,0,0,
8542120,8542120,0,,8542121,8542115,0,,8542067,8542062,0,,8542078,8542061,0,,8542079,8542062,0,,42710465,42710420,0,8456663160,10933865216,0,0,0,0,
8552268,8552268,0,,8552267,8552272,0,,8552213,8552218,0,,8552201,8552218,0,,8552218,8552218,0,,42761167,42761194,0,8466716412,10946868736,0,0,0,0,
8552799,8552799,0,,8552800,8552800,0,,8552745,8552745,0,,8552745,8552746,0,,8552728,8552746,0,,42763817,42763836,0,8467239528,10947542272,0,0,0,0,
8553137,8553137,0,,8553137,8553136,0,,8553083,8553082,0,,8553083,8553082,0,,8553083,8553082,0,,42765523,42765519,0,8467572762,10947968512,0,0,0,0,
8546185,8546185,0,,8546183,8546185,0,,8546131,8546132,0,,8546131,8546132,0,,8546130,8546131,0,,42730760,42730765,0,8460691470,10939079168,0,0,0,0,
8543333,8543333,0,,8543342,8543323,0,,8543287,8543269,0,,8543287,8543269,0,,8543280,8543279,0,,42716529,42716473,0,8457872346,10935417344,0,0,0,0,
8557033,8557033,0,,8557026,8557044,0,,8556972,8556990,0,,8556988,8556988,0,,8556997,8556980,0,,42785016,42785035,0,8471426238,10952969984,0,0,0,0,
8554548,8554548,0,,8554556,8554556,0,,8554502,8554501,0,,8554486,8554503,0,,8554493,8554493,0,,42772585,42772601,0,8468974998,10949771776,0,0,0,0,
6398556,6398556,0,,6398548,6398530,0,,6398507,6398490,0,,6398507,6398490,0,,6398498,6398498,0,,31992616,31992564,0,6334527672,8190092032,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1032671,1032671,0,,1032670,1032674,0,,1032664,1032681,0,,1032664,1032682,0,,1032664,1032683,0,,5163333,5163391,0,1022354982,1321841152,0,0,0,0,
8134433,8134433,0,,8134434,8134448,0,,8134384,8134385,0,,8134383,8134383,0,,8134384,8134382,0,,40672018,40672031,0,8053058574,10412026880,0,0,0,0,
8134421,8134421,0,,8134413,8134412,0,,8134359,8134359,0,,8134377,8134359,0,,8134368,8134367,0,,40671938,40671918,0,8053049664,10412028416,0,0,0,0,
8134452,8134452,0,,8134460,8134461,0,,8134410,8134410,0,,8134393,8134410,0,,8134400,8134402,0,,40672115,40672135,0,8053072830,10412067328,0,0,0,0,
8134319,8134319,0,,8134327,8134309,0,,8134275,8134257,0,,8134266,8134265,0,,8134267,8134265,0,,40671454,40671415,0,8052945912,10411880448,0,0,0,0,
8133981,8133981,0,,8133973,8133990,0,,8133930,8133948,0,,8133939,8133941,0,,8133939,8133941,0,,40669762,40669801,0,8052614856,10411464960,0,0,0,0,
8134390,8134390,0,,8134389,8134388,0,,8134329,8134328,0,,8134337,8134337,0,,8134337,8134337,0,,40671782,40671780,0,8053008876,10411972096,0,0,0,0,
8134380,8134380,0,,8134381,8134382,0,,8134330,8134330,0,,8134330,8134322,0,,8134330,8134322,0,,40671751,40671736,0,8053007292,10411968000,0,0,0,0,
8134382,8134382,0,,8134382,8134381,0,,8134330,8134330,0,,8134323,8134329,0,,8134322,8134329,0,,40671739,40671751,0,8053006698,10411974400,0,0,0,0,
