Lcore 0,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
12745853,12745853,0,,12745853,12745853,0,2447203776,2447203776,833603,0,0,0,
12747167,12747167,0,,12747167,12747167,0,2447456064,2447456064,832372,0,0,0,
12746332,12746332,0,,12746332,12746332,0,2447295744,2447295744,833217,0,0,0,
12748600,12748600,0,,12748600,12748600,0,2447731200,2447739648,830968,0,0,0,
12743904,12743904,0,,12743904,12743904,0,2446829568,2446822656,835664,0,0,0,
12746768,12746768,0,,12746768,12746768,0,2447379456,2447379456,832729,0,0,0,
12744048,12744048,0,,12744048,12744048,0,2446857216,2446858752,835745,0,0,0,
12748108,12748108,0,,12748108,12748108,0,2447636736,2447634048,831226,0,0,0,
12753841,12753841,0,,12753841,12753841,0,2448737472,2448739200,825904,0,0,0,
12749303,12749303,0,,12749303,12749303,0,2447866176,2447864448,830296,0,0,0,
12749216,12749216,0,,12749216,12749216,0,2447849472,2447855232,830157,0,0,0,
12751128,12751128,0,,12751128,12751128,0,2448216576,2448210432,827659,0,0,0,
12745593,12745593,0,,12745593,12745593,0,2447153856,2447160576,834120,0,0,0,
12750937,12750937,0,,12750937,12750937,0,2448179904,2448173568,827736,0,0,0,
12748703,12748703,0,,12748703,12748703,0,2447750976,2447750976,831114,0,0,0,
12749699,12749699,0,,12749699,12749699,0,2447942208,2447944128,830002,0,0,0,
12747444,12747444,0,,12747444,12747444,0,2447509248,2447510016,831946,0,0,0,
2870129,2870129,0,,2870129,2870129,0,551064768,551061696,187821,0,0,0,
256802,256802,0,,256802,256802,0,49305984,49307328,3583,0,0,0,
12768221,12768221,0,,12768221,12768221,0,2451498432,2451497088,583222,0,0,0,
12758228,12758228,0,,12758228,12758228,0,2449579776,2449579776,593612,0,0,0,
12755440,12755440,0,,12755440,12755440,0,2449044480,2449044480,596612,0,0,0,
12757568,12757568,0,,12757568,12757568,0,2449453056,2449453056,594746,0,0,0,
12762828,12762828,0,,12762828,12762828,0,2450462976,2450463744,589063,0,0,0,
12760864,12760864,0,,12760864,12760864,0,2450085888,2450087040,591220,0,0,0,
12762963,12762963,0,,12762963,12762963,0,2450488896,2450487168,589258,0,0,0,
12758921,12758921,0,,12758921,12758921,0,2449712832,2449712640,593081,0,0,0,
12759200,12759200,0,,12759200,12759200,0,2449766400,2449766400,592948,0,0,0,
12757933,12757933,0,,12757933,12757933,0,2449523136,2449523136,594028,0,0,0,
12761119,12761119,0,,12761119,12761119,0,2450134848,2450135616,590448,0,0,0,
12761901,12761901,0,,12761901,12761901,0,2450284992,2450284224,590108,0,0,0,
12761275,12761275,0,,12761275,12761275,0,2450164800,2450166336,590668,0,0,0,
12762712,12762712,0,,12762712,12762712,0,2450440704,2450439168,589288,0,0,0,
12765239,12765239,0,,12765239,12765239,0,2450925888,2450925888,586616,0,0,0,
12762377,12762377,0,,12762377,12762377,0,2450376384,2450378688,589752,0,0,0,
12761891,12761891,0,,12761891,12761891,0,2450283072,2450280960,589965,0,0,0,
12759785,12759785,0,,12759785,12759785,0,2449878720,2449881600,592011,0,0,0,
12761280,12761280,0,,12761280,12761280,0,2450165760,2450162688,590780,0,0,0,
12759878,12759878,0,,12759878,12759878,0,2449896576,2449896576,592244,0,0,0,
12758838,12758838,0,,12758838,12758838,0,2449696896,2449702272,593203,0,0,0,
12762332,12762332,0,,12762332,12762332,0,2450367744,2450362368,589327,0,0,0,
12760204,12760204,0,,12760204,12760204,0,2449959168,2449961472,591766,0,0,0,
7819169,7819169,0,,7819169,7819169,0,1501280448,1501278144,360843,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
8199937,8199937,0,,8199937,8199937,0,1574387904,1574387904,261521,0,0,0,
12770754,12770754,0,,12770754,12770754,0,2451984768,2451984768,433544,0,0,0,
12771188,12771188,0,,12771188,12771188,0,2452068096,2452068096,433633,0,0,0,
12770200,12770200,0,,12770200,12770200,0,2451878400,2451878400,434283,0,0,0,
12753520,12753520,0,,12753520,12753520,0,2448675840,2448675840,451012,0,0,0,
12774076,12774076,0,,12774076,12774076,0,2452622592,2452622592,430408,0,0,0,
12771020,12771020,0,,12771020,12771020,0,2452035840,2452035840,433691,0,0,0,
12769912,12769912,0,,12769912,12769912,0,2451823104,2451824640,434732,0,0,0,
12772232,12772232,0,,12772232,12772232,0,2452268544,2452267008,432261,0,0,0,
12772100,12772100,0,,12772100,12772100,0,2452243200,2452247808,432296,0,0,0,
12775948,12775948,0,,12775948,12775948,0,2452982016,2452978944,428472,0,0,0,
12774833,12774833,0,,12774833,12774833,0,2452767936,2452768896,429756,0,0,0,
12775003,12775003,0,,12775003,12775003,0,2452800576,2452798080,428934,0,0,0,
12778556,12778556,0,,12778556,12778556,0,2453482752,2453482752,425910,0,0,0,
12773396,12773396,0,,12773396,12773396,0,2452492032,2452493568,431118,0,0,0,
12773440,12773440,0,,12773440,12773440,0,2452500480,2452503552,431160,0,0,0,
12769276,12769276,0,,12769276,12769276,0,2451700992,2451696384,435306,0,0,0,
12771568,12771568,0,,12771568,12771568,0,2452141056,2452141824,433040,0,0,0,
12770988,12770988,0,,12770988,12770988,0,2452029696,2452032768,433572,0,0,0,
12771832,12771832,0,,12771832,12771832,0,2452191744,2452187904,432552,0,0,0,
12771176,12771176,0,,12771176,12771176,0,2452065792,2452067328,433354,0,0,0,
12772324,12772324,0,,12772324,12772324,0,2452286208,2452284672,431261,0,0,0,
12776712,12776712,0,,12776712,12776712,0,2453128704,2453129856,427878,0,0,0,
12775883,12775883,0,,12775883,12775883,0,2452969536,2452968384,428771,0,0,0,
70739,70739,0,,70739,70739,0,13581888,13581888,2634,0,0,0,
3250138,3250138,0,,3250138,3250138,0,624026496,624034752,119802,0,0,0,
12766266,12766266,0,,12766266,12766266,0,2451123072,2451115968,511446,0,0,0,
12767734,12767734,0,,12767734,12767734,0,2451404928,2451403776,510234,0,0,0,
12767696,12767696,0,,12767696,12767696,0,2451397632,2451399168,510144,0,0,0,
12763920,12763920,0,,12763920,12763920,0,2450672640,2450671104,513796,0,0,0,
12764624,12764624,0,,12764624,12764624,0,2450807808,2450810112,513372,0,0,0,
12765031,12765031,0,,12765031,12765031,0,2450885952,2450883648,512876,0,0,0,
12759956,12759956,0,,12759956,12759956,0,2449911552,2449911552,517944,0,0,0,
12766388,12766388,0,,12766388,12766388,0,2451146496,2451146496,511393,0,0,0,
12761629,12761629,0,,12761629,12761629,0,2450232768,2450238144,516339,0,0,0,
12766836,12766836,0,,12766836,12766836,0,2451232512,2451227136,511084,0,0,0,
12766367,12766367,0,,12766367,12766367,0,2451142464,2451142464,511478,0,0,0,
12765637,12765637,0,,12765637,12765637,0,2451002304,2451002304,512208,0,0,0,
12763260,12763260,0,,12763260,12763260,0,2450545920,2450547840,514758,0,0,0,
12766640,12766640,0,,12766640,12766640,0,2451194880,2451193728,510430,0,0,0,
12768603,12768603,0,,12768603,12768603,0,2451571776,2451575808,509178,0,0,0,
12763177,12763177,0,,12763177,12763177,0,2450529984,2450525184,514692,0,0,0,
12769408,12769408,0,,12769408,12769408,0,2451726336,2451729216,508304,0,0,0,
12764368,12764368,0,,12764368,12764368,0,2450758656,2450756544,513344,0,0,0,
12769367,12769367,0,,12769367,12769367,0,2451718464,2451717696,508313,0,0,0,
12760741,12760741,0,,12760741,12760741,0,2450062272,2450062272,517099,0,0,0,
12770792,12770792,0,,12770792,12770792,0,2451992064,2451998976,507112,0,0,0,
12769236,12769236,0,,12769236,12769236,0,2451693312,2451686400,508668,0,0,0,
12762532,12762532,0,,12762532,12762532,0,2450406144,2450410752,515409,0,0,0,
5274703,5274703,0,,5274703,5274703,0,1012742976,1012738368,211176,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
