Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
1930282,1930282,0,,1984704,1984704,0,,3914986,3914986,0,1002236416,1002236416,0,0,0,0,
1930593,1930593,0,,1984393,1984393,0,,3914986,3914986,0,1002236416,1002236416,0,0,0,0,
1930651,1930651,0,,1984292,1984324,0,,3914943,3914975,0,1002225408,1002234112,0,0,0,0,
1931274,1931274,0,,1983753,1983721,0,,3915027,3914995,0,1002246912,1002238720,0,0,0,0,
1929973,1929973,0,,1985015,1985015,0,,3914988,3914988,0,1002236928,1002236416,0,0,0,0,
1570056,1570056,0,,1614848,1614848,0,,3184904,3184904,0,815335424,815335424,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1993612,1993612,0,,2050771,2050771,0,,4044383,4044383,0,1035362048,1035362816,0,0,0,0,
2120811,2120811,0,,2180086,2180106,0,,4300897,4300917,0,1101029632,1101033984,0,0,0,0,
2118966,2118966,0,,2181864,2181876,0,,4300830,4300842,0,1101020672,1101024000,0,0,0,0,
2122358,2122358,0,,2178566,2178534,0,,4300924,4300892,0,1101028352,1101021952,0,0,0,0,
2115052,2115052,0,,2185834,2185866,0,,4300886,4300918,0,1101026816,1101034240,0,0,0,0,
2123802,2123802,0,,2177083,2177067,0,,4300885,4300869,0,1101030656,1101027328,0,0,0,0,
2117669,2117669,0,,2183237,2183221,0,,4300906,4300890,0,1101027840,1101035776,0,0,0,0,
2121161,2121161,0,,2179710,2179738,0,,4300871,4300899,0,1101022976,1101017088,0,0,0,0,
2120948,2120948,0,,2179968,2179972,0,,4300916,4300920,0,1101034496,1101035776,0,0,0,0,
2119218,2119218,0,,2181646,2181635,0,,4300864,4300853,0,1101026560,1101018880,0,0,0,0,
2122498,2122498,0,,2178423,2178427,0,,4300921,4300925,0,1101036800,1101036800,0,0,0,0,
2116089,2116089,0,,2184805,2184780,0,,4300894,4300869,0,1101022464,1101028352,0,0,0,0,
2123230,2123230,0,,2177663,2177685,0,,4300893,4300915,0,1101028608,1101030656,0,0,0,0,
2116805,2116805,0,,2184093,2184090,0,,4300898,4300895,0,1101029888,1101027072,0,0,0,0,
2121508,2121508,0,,2179368,2179372,0,,4300876,4300880,0,1101024256,1101025024,0,0,0,0,
2119802,2119802,0,,2181104,2181097,0,,4300906,4300899,0,1101031936,1101030656,0,0,0,0,
2120964,2120964,0,,2179911,2179927,0,,4300875,4300891,0,1101024000,1101029120,0,0,0,0,
189039,189039,0,,192584,192552,0,,381623,381591,0,97695488,97683968,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1468816,1468816,0,,1515540,1515572,0,,2984356,2984388,0,763995136,764004608,0,0,0,0,
2224072,2224072,0,,2278534,2278502,0,,4502606,4502574,0,1152667136,1152666880,0,0,0,0,
2216874,2216874,0,,2285719,2285719,0,,4502593,4502593,0,1152663808,1152666880,0,0,0,0,
2217053,2217053,0,,2285563,2285580,0,,4502616,4502633,0,1152674048,1152664832,0,0,0,0,
2223787,2223787,0,,2278838,2278853,0,,4502625,4502640,0,1152667648,1152675584,0,0,0,0,
2217971,2217971,0,,2284602,2284602,0,,4502573,4502573,0,1152666880,1152666368,0,0,0,0,
2218103,2218103,0,,2284553,2284538,0,,4502656,4502641,0,1152676096,1152665600,0,0,0,0,
2221134,2221134,0,,2281479,2281470,0,,4502613,4502604,0,1152664576,1152666624,0,0,0,0,
2219817,2219817,0,,2282737,2282755,0,,4502554,4502572,0,1152653824,1152658944,0,0,0,0,
2217843,2217843,0,,2284796,2284802,0,,4502639,4502645,0,1152675584,1152679936,0,0,0,0,
2219163,2219163,0,,2283434,2283434,0,,4502597,4502597,0,1152664832,1152661760,0,0,0,0,
2221773,2221773,0,,2280834,2280834,0,,4502607,4502607,0,1152667392,1152667136,0,0,0,0,
2218123,2218123,0,,2284498,2284466,0,,4502621,4502589,0,1152670976,1152669952,0,0,0,0,
2218000,2218000,0,,2284616,2284635,0,,4502616,4502635,0,1152669696,1152670976,0,0,0,0,
2222956,2222956,0,,2279660,2279673,0,,4502616,4502629,0,1152669696,1152673024,0,0,0,0,
2216555,2216555,0,,2286032,2286006,0,,4502587,4502561,0,1152663808,1152661248,0,0,0,0,
2217426,2217426,0,,2285212,2285206,0,,4502638,4502632,0,1152673792,1152674304,0,0,0,0,
790576,790576,0,,812879,812879,0,,1603455,1603455,0,410484480,410474752,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1373249,1373249,0,,1409068,1409100,0,,2782317,2782349,0,712273152,712284928,0,0,0,0,
2270210,2270210,0,,2336082,2336073,0,,4606292,4606283,0,1179210752,1179206656,0,0,0,0,
2269046,2269046,0,,2337229,2337238,0,,4606275,4606284,0,1179206400,1179213568,0,0,0,0,
2270240,2270240,0,,2336135,2336135,0,,4606375,4606375,0,1179232000,1179226880,0,0,0,0,
2268232,2268232,0,,2338118,2338086,0,,4606350,4606318,0,1179225600,1179228160,0,0,0,0,
2272909,2272909,0,,2333384,2333407,0,,4606293,4606316,0,1179211008,1179204608,0,0,0,0,
2273018,2273018,0,,2333219,2333228,0,,4606237,4606246,0,1179196672,1179211008,0,0,0,0,
2269921,2269921,0,,2336398,2336398,0,,4606319,4606319,0,1179217664,1179209216,0,0,0,0,
2268868,2268868,0,,2337425,2337419,0,,4606293,4606287,0,1179217664,1179208704,0,0,0,0,
2269543,2269543,0,,2336775,2336780,0,,4606318,4606323,0,1179210752,1179215872,0,0,0,0,
2270524,2270524,0,,2335750,2335719,0,,4606274,4606243,0,1179206144,1179206656,0,0,0,0,
2273514,2273514,0,,2332773,2332805,0,,4606287,4606319,0,1179209472,1179211776,0,0,0,0,
2270420,2270420,0,,2335873,2335873,0,,4606293,4606293,0,1179211008,1179212288,0,0,0,0,
2268450,2268450,0,,2337828,2337807,0,,4606278,4606257,0,1179209984,1179203072,0,0,0,0,
2271310,2271310,0,,2335054,2335049,0,,4606364,4606359,0,1179227904,1179223552,0,0,0,0,
2267647,2267647,0,,2338640,2338634,0,,4606287,4606281,0,1179207936,1179207168,0,0,0,0,
2272128,2272128,0,,2334128,2334156,0,,4606256,4606284,0,1179208704,1179209984,0,0,0,0,
1426843,1426843,0,,1463305,1463277,0,,2890148,2890120,0,739870720,739869440,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
