Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
7510700,7510700,0,,7510701,7510696,0,,7508546,7508566,0,,7506380,7506407,0,,7508549,7508562,0,,7508543,7508559,0,,45053419,45053490,0,6217374306,8650256640,0,0,0,0,
7510915,7510915,0,,7510907,7510916,0,,7508750,7508745,0,,7506613,7506586,0,,7508754,7508746,0,,7508758,7508747,0,,45054697,45054655,0,6217544736,8650502784,0,0,0,0,
7511067,7511067,0,,7511067,7511081,0,,7508901,7508916,0,,7506768,7506768,0,,7508900,7508920,0,,7508917,7508912,0,,45055620,45055664,0,6217678320,8650685952,0,0,0,0,
7510651,7510651,0,,7510651,7510636,0,,7508511,7508488,0,,7506329,7506332,0,,7508507,7508483,0,,7508483,7508497,0,,45053132,45053087,0,6217328766,8650195392,0,0,0,0,
7511088,7511088,0,,7511088,7511098,0,,7508931,7508947,0,,7506781,7506791,0,,7508935,7508955,0,,7508944,7508949,0,,45055767,45055828,0,6217704954,8650711488,0,0,0,0,
7511033,7511033,0,,7511034,7511033,0,,7508882,7508876,0,,7506732,7506719,0,,7508872,7508871,0,,7508868,7508871,0,,45055421,45055403,0,6217640508,8650644864,0,0,0,0,
7510871,7510871,0,,7510878,7510861,0,,7508712,7508711,0,,7506543,7506559,0,,7508728,7508708,0,,7508730,7508708,0,,45054462,45054418,0,6217512030,8650447104,0,0,0,0,
7511085,7511085,0,,7511057,7511086,0,,7508914,7508926,0,,7506787,7506780,0,,7508926,7508926,0,,7508923,7508923,0,,45055692,45055726,0,6217690188,8650707648,0,0,0,0,
7511022,7511022,0,,7511042,7511026,0,,7508887,7508872,0,,7506718,7506709,0,,7508872,7508872,0,,7508875,7508875,0,,45055416,45055376,0,6217646994,8650629696,0,0,0,0,
7510924,7510924,0,,7510931,7510922,0,,7508776,7508779,0,,7506605,7506620,0,,7508770,7508770,0,,7508770,7508784,0,,45054776,45054799,0,6217560606,8650520640,0,0,0,0,
7510494,7510494,0,,7510502,7510498,0,,7508353,7508350,0,,7506136,7506140,0,,7508351,7508351,0,,7508345,7508331,0,,45052181,45052164,0,6217198080,8650018176,0,0,0,0,
7510759,7510759,0,,7510754,7510762,0,,7508584,7508587,0,,7506505,7506494,0,,7508588,7508596,0,,7508603,7508603,0,,45053793,45053801,0,6217423572,8650317504,0,0,0,0,
4946501,4946501,0,,4946491,4946483,0,,4945082,4945066,0,,4943653,4943645,0,,4945072,4945064,0,,4945063,4945063,0,,29671862,29671822,0,4094707158,5696978880,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
5134126,5134126,0,,5134139,5134139,0,,5132658,5132677,0,,5131195,5131218,0,,5132676,5132676,0,,5132672,5132692,0,,30797466,30797528,0,4250059002,5913137280,0,0,0,0,
8844748,8844748,0,,8844716,8844745,0,,8842205,8842217,0,,8839657,8839664,0,,8842182,8842212,0,,8842188,8842197,0,,53055696,53055783,0,7321693638,10186715712,0,0,0,0,
8845083,8845083,0,,8845111,8845082,0,,8842558,8842545,0,,8840021,8840007,0,,8842564,8842550,0,,8842562,8842548,0,,53057899,53057815,0,7321985370,10187103552,0,0,0,0,
8844690,8844690,0,,8844680,8844701,0,,8842140,8842153,0,,8839608,8839592,0,,8842141,8842156,0,,8842151,8842164,0,,53055410,53055456,0,7321642164,10186637760,0,0,0,0,
8844703,8844703,0,,8844702,8844702,0,,8842188,8842157,0,,8839640,8839663,0,,8842187,8842156,0,,8842177,8842149,0,,53055597,53055530,0,7321681080,10186674624,0,0,0,0,
8845134,8845134,0,,8845158,8845137,0,,8842575,8842606,0,,8840047,8840056,0,,8842587,8842619,0,,8842596,8842628,0,,53058097,53058180,0,7322023458,10187170944,0,0,0,0,
8845217,8845217,0,,8845207,8845215,0,,8842692,8842661,0,,8840153,8840135,0,,8842681,8842664,0,,8842673,8842654,0,,53058623,53058546,0,7322077278,10187240064,0,0,0,0,
8845000,8845000,0,,8844976,8844990,0,,8842449,8842469,0,,8839910,8839919,0,,8842456,8842460,0,,8842443,8842457,0,,53057234,53057295,0,7321904364,10187000256,0,0,0,0,
8845008,8845008,0,,8845024,8845029,0,,8842483,8842494,0,,8839938,8839942,0,,8842474,8842479,0,,8842502,8842475,0,,53057429,53057427,0,7321924926,10187022720,0,0,0,0,
8844309,8844309,0,,8844321,8844325,0,,8841775,8841775,0,,8839259,8839232,0,,8841782,8841788,0,,8841766,8841798,0,,53053212,53053227,0,7321345326,10186224768,0,0,0,0,
8844265,8844265,0,,8844244,8844245,0,,8841689,8841690,0,,8839175,8839207,0,,8841708,8841710,0,,8841710,8841710,0,,53052791,53052827,0,7321285710,10186139904,0,0,0,0,
8844589,8844589,0,,8844594,8844577,0,,8842078,8842046,0,,8839503,8839487,0,,8842065,8842033,0,,8842057,8842031,0,,53054886,53054763,0,7321560882,10186512000,0,0,0,0,
8844459,8844459,0,,8844477,8844462,0,,8841925,8841957,0,,8839382,8839396,0,,8841924,8841956,0,,8841931,8841955,0,,53054098,53054185,0,7321469802,10186396416,0,0,0,0,
8844999,8844999,0,,8844978,8844993,0,,8842468,8842449,0,,8839923,8839917,0,,8842463,8842437,0,,8842448,8842438,0,,53057279,53057233,0,7321916784,10186994304,0,0,0,0,
8844013,8844013,0,,8844016,8844020,0,,8841475,8841462,0,,8838954,8838930,0,,8841461,8841483,0,,8841491,8841471,0,,53051410,53051379,0,7321091682,10185870336,0,0,0,0,
8844717,8844717,0,,8844711,8844720,0,,8842170,8842202,0,,8839628,8839658,0,,8842185,8842189,0,,8842165,8842196,0,,53055576,53055682,0,7321663968,10186679808,0,0,0,0,
8844772,8844772,0,,8844782,8844786,0,,8842241,8842241,0,,8839688,8839690,0,,8842234,8842230,0,,8842255,8842224,0,,53055972,53055943,0,7321728828,10186763904,0,0,0,0,
8844834,8844834,0,,8844830,8844829,0,,8842278,8842273,0,,8839772,8839770,0,,8842282,8842280,0,,8842286,8842310,0,,53056282,53056296,0,7321757118,10186785216,0,0,0,0,
8844816,8844816,0,,8844818,8844810,0,,8842306,8842279,0,,8839758,8839744,0,,8842293,8842293,0,,8842275,8842274,0,,53056266,53056216,0,7321771884,10186795392,0,0,0,0,
8844608,8844608,0,,8844595,8844595,0,,8842062,8842081,0,,8839527,8839511,0,,8842058,8842057,0,,8842068,8842067,0,,53054918,53054919,0,7321576476,10186553664,0,0,0,0,
8844979,8844979,0,,8844992,8844997,0,,8842419,8842432,0,,8839892,8839924,0,,8842470,8842445,0,,8842447,8842425,0,,53057199,53057202,0,7321893876,10186986816,0,0,0,0,
8844241,8844241,0,,8844249,8844221,0,,8841735,8841703,0,,8839179,8839163,0,,8841692,8841714,0,,8841700,8841724,0,,53052796,53052766,0,7321283364,10186118784,0,0,0,0,
8844693,8844693,0,,8844680,8844697,0,,8842141,8842165,0,,8839625,8839609,0,,8842143,8842152,0,,8842148,8842148,0,,53055430,53055464,0,7321660932,10186657728,0,0,0,0,
